seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
8,gauss,44.19705904895555,8.0,8.393942871310228,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.2,1100,1,309,0.0,0.5009090900421143,15,34.71228900461826,2.0,2,adam,cosine,16
9,gauss,44.19705904895555,8.0,8.393942871310228,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.2,1100,1,168,0.0,0.5009090900421143,15,34.71228900461826,2.0,2,adam,cosine,16
10,gauss,44.19705904895555,8.0,8.393942871310228,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.2,1100,1,187,0.0,0.5009090900421143,15,34.71228900461826,2.0,2,adam,cosine,16
11,gauss,44.19705904895555,8.0,8.393942871310228,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.2,1100,1,170,0.0,0.5009090900421143,15,34.71228900461826,2.0,2,adam,cosine,16
12,gauss,44.19705904895555,8.0,8.393942871310228,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.2,1100,1,147,0.0,0.5009090900421143,15,34.71228900461826,2.0,2,adam,cosine,16
13,gauss,44.19705904895555,8.0,8.393942871310228,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.2,1100,1,395,0.0,0.5009090900421143,15,34.71228900461826,2.0,2,adam,cosine,16
14,gauss,44.19705904895555,8.0,8.393942871310228,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.2,1100,1,442,0.0,0.5009090900421143,15,34.71228900461826,2.0,2,adam,cosine,16
15,gauss,44.19705904895555,8.0,8.393942871310228,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.2,1100,1,246,0.0,0.5009090900421143,15,34.71228900461826,2.0,2,adam,cosine,16
8,gauss,44.19705904895555,8.0,8.68846718258427,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.4,1200,1,4638,0.0,0.5008333325386047,15,34.71228900461826,2.0,2,adam,cosine,16
9,gauss,44.19705904895555,8.0,8.68846718258427,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.4,1200,1,1272,0.0,0.5008333325386047,15,34.71228900461826,2.0,2,adam,cosine,16
10,gauss,44.19705904895555,8.0,8.68846718258427,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.4,1200,1,1003,0.0,0.5008333325386047,15,34.71228900461826,2.0,2,adam,cosine,16
11,gauss,44.19705904895555,8.0,8.68846718258427,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.4,1200,1,790,0.0,0.5008333325386047,15,34.71228900461826,2.0,2,adam,cosine,16
12,gauss,44.19705904895555,8.0,8.68846718258427,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.4,1200,1,3170,0.0,0.5008333325386047,15,34.71228900461826,2.0,2,adam,cosine,16
13,gauss,44.19705904895555,8.0,8.68846718258427,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.4,1200,1,435,0.0,0.5008333325386047,15,34.71228900461826,2.0,2,adam,cosine,16
14,gauss,44.19705904895555,8.0,8.68846718258427,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.4,1200,1,2618,0.0,0.5008333325386047,15,34.71228900461826,2.0,2,adam,cosine,16
15,gauss,44.19705904895555,8.0,8.68846718258427,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.4,1200,1,1316,0.0,0.5008333325386047,15,34.71228900461826,2.0,2,adam,cosine,16
8,gauss,44.19705904895555,8.0,8.73755456779661,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.6,1300,1,4554,0.004615384619683027,0.5007692575454712,15,34.71228900461826,2.0,2,adam,cosine,16
9,gauss,44.19705904895555,8.0,8.73755456779661,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.6,1300,1,3028,0.0,0.5007692575454712,15,34.71228900461826,2.0,2,adam,cosine,16
10,gauss,44.19705904895555,8.0,8.73755456779661,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.6,1300,1,5226,0.0,0.5007692575454712,15,34.71228900461826,2.0,2,adam,cosine,16
11,gauss,44.19705904895555,8.0,8.73755456779661,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.6,1300,1,6608,0.0,0.5007692575454712,15,34.71228900461826,2.0,2,adam,cosine,16
12,gauss,44.19705904895555,8.0,8.73755456779661,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.6,1300,1,5685,0.0,0.5007692575454712,15,34.71228900461826,2.0,2,adam,cosine,16
13,gauss,44.19705904895555,8.0,8.73755456779661,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.6,1300,1,5011,0.0,0.5007692575454712,15,34.71228900461826,2.0,2,adam,cosine,16
14,gauss,44.19705904895555,8.0,8.73755456779661,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.6,1300,0,-1,0.01230769231915474,0.5007692575454712,15,34.71228900461826,2.0,2,adam,cosine,16
15,gauss,44.19705904895555,8.0,8.73755456779661,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.6,1300,0,-1,0.0015384615398943424,0.5007692575454712,15,34.71228900461826,2.0,2,adam,cosine,16
8,gauss,44.19705904895555,8.0,9.130253649495335,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.8,1400,0,-1,0.034285712987184525,0.5007143020629883,15,34.71228900461826,2.0,2,adam,cosine,16
