seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,gauss,22.094882025527312,16.0,16.738798357408115,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,197,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
1,gauss,22.094882025527312,16.0,16.738798357408115,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,219,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
2,gauss,22.094882025527312,16.0,16.738798357408115,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,93,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
3,gauss,22.094882025527312,16.0,16.738798357408115,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,96,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
4,gauss,22.094882025527312,16.0,16.738798357408115,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,228,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
5,gauss,22.094882025527312,16.0,16.738798357408115,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,105,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
6,gauss,22.094882025527312,16.0,16.738798357408115,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,122,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
7,gauss,22.094882025527312,16.0,16.738798357408115,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,207,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
0,gauss,22.094882025527312,16.0,16.14974973486003,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,302,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
1,gauss,22.094882025527312,16.0,16.14974973486003,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,272,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
2,gauss,22.094882025527312,16.0,16.14974973486003,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,191,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
3,gauss,22.094882025527312,16.0,16.14974973486003,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,345,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
4,gauss,22.094882025527312,16.0,16.14974973486003,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,2591,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
5,gauss,22.094882025527312,16.0,16.14974973486003,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,283,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
6,gauss,22.094882025527312,16.0,16.14974973486003,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,345,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
7,gauss,22.094882025527312,16.0,16.14974973486003,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,396,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
0,gauss,22.094882025527312,16.0,17.47510913559322,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,4861,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
1,gauss,22.094882025527312,16.0,17.47510913559322,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,1404,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
2,gauss,22.094882025527312,16.0,17.47510913559322,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,1263,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
3,gauss,22.094882025527312,16.0,17.47510913559322,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,2686,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
4,gauss,22.094882025527312,16.0,17.47510913559322,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,1263,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
5,gauss,22.094882025527312,16.0,17.47510913559322,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,5059,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
6,gauss,22.094882025527312,16.0,17.47510913559322,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,3967,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
7,gauss,22.094882025527312,16.0,17.47510913559322,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,2317,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
0,gauss,22.094882025527312,16.0,16.493361431346415,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,6308,0.0,0.5007143020629883,30,17.35327976333244,2.0,2,adam,cosine,16
1,gauss,22.094882025527312,16.0,16.493361431346415,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,6935,0.0007142857066355646,0.5007143020629883,30,17.35327976333244,2.0,2,adam,cosine,16
2,gauss,22.094882025527312,16.0,16.493361431346415,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,0,-1,0.004999999888241291,0.5007143020629883,30,17.35327976333244,2.0,2,adam,cosine,16
3,gauss,22.094882025527312,16.0,16.493361431346415,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,6836,0.0,0.5007143020629883,30,17.35327976333244,2.0,2,adam,cosine,16
