seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
8,gauss,22.094882025527312,16.0,16.886060513045134,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,634,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
9,gauss,22.094882025527312,16.0,16.886060513045134,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,171,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
10,gauss,22.094882025527312,16.0,16.886060513045134,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,175,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
11,gauss,22.094882025527312,16.0,16.886060513045134,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,241,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
12,gauss,22.094882025527312,16.0,16.886060513045134,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,127,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
13,gauss,22.094882025527312,16.0,16.886060513045134,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,141,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
14,gauss,22.094882025527312,16.0,16.886060513045134,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,133,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
15,gauss,22.094882025527312,16.0,16.886060513045134,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,195,0.0,0.5009090900421143,30,17.35327976333244,2.0,2,adam,cosine,16
8,gauss,22.094882025527312,16.0,16.787885742620457,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,1650,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
9,gauss,22.094882025527312,16.0,16.787885742620457,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,326,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
10,gauss,22.094882025527312,16.0,16.787885742620457,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,658,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
11,gauss,22.094882025527312,16.0,16.787885742620457,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,242,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
12,gauss,22.094882025527312,16.0,16.787885742620457,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,1322,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
13,gauss,22.094882025527312,16.0,16.787885742620457,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,231,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
14,gauss,22.094882025527312,16.0,16.787885742620457,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,1401,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
15,gauss,22.094882025527312,16.0,16.787885742620457,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,3637,0.0,0.5008333325386047,30,17.35327976333244,2.0,2,adam,cosine,16
8,gauss,22.094882025527312,16.0,17.37693436516854,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,1860,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
9,gauss,22.094882025527312,16.0,17.37693436516854,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,1983,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
10,gauss,22.094882025527312,16.0,17.37693436516854,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,3100,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
11,gauss,22.094882025527312,16.0,17.37693436516854,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,814,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
12,gauss,22.094882025527312,16.0,17.37693436516854,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,5384,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
13,gauss,22.094882025527312,16.0,17.37693436516854,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,939,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
14,gauss,22.094882025527312,16.0,17.37693436516854,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,4696,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
15,gauss,22.094882025527312,16.0,17.37693436516854,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,4790,0.0,0.5007692575454712,30,17.35327976333244,2.0,2,adam,cosine,16
8,gauss,22.094882025527312,16.0,16.935147898257476,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,4704,0.0,0.5007143020629883,30,17.35327976333244,2.0,2,adam,cosine,16
9,gauss,22.094882025527312,16.0,16.935147898257476,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,6571,0.002142857061699033,0.5007143020629883,30,17.35327976333244,2.0,2,adam,cosine,16
10,gauss,22.094882025527312,16.0,16.935147898257476,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,7105,0.0,0.5007143020629883,30,17.35327976333244,2.0,2,adam,cosine,16
11,gauss,22.094882025527312,16.0,16.935147898257476,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,5770,0.0,0.5007143020629883,30,17.35327976333244,2.0,2,adam,cosine,16
12,gauss,22.094882025527312,16.0,16.935147898257476,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,5780,0.0007142857066355646,0.5007143020629883,30,17.35327976333244,2.0,2,adam,cosine,16
13,gauss,22.094882025527312,16.0,16.935147898257476,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,7508,0.0,0.5007143020629883,30,17.35327976333244,2.0,2,adam,cosine,16
14,gauss,22.094882025527312,16.0,16.935147898257476,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,6458,0.0,0.5007143020629883,30,17.35327976333244,2.0,2,adam,cosine,16
15,gauss,22.094882025527312,16.0,16.935147898257476,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,6873,0.0,0.5007143020629883,30,17.35327976333244,2.0,2,adam,cosine,16
8,gauss,22.094882025527312,16.0,16.247924505284715,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.0,1500,0,-1,0.019333332777023315,0.5006666779518127,30,17.35327976333244,2.0,2,adam,cosine,16
9,gauss,22.094882025527312,16.0,16.247924505284715,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.0,1500,0,-1,0.02199999988079071,0.5006666779518127,30,17.35327976333244,2.0,2,adam,cosine,16
10,gauss,22.094882025527312,16.0,16.247924505284715,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.0,1500,0,-1,0.003999999724328518,0.5006666779518127,30,17.35327976333244,2.0,2,adam,cosine,16
11,gauss,22.094882025527312,16.0,16.247924505284715,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.0,1500,0,-1,0.006000000052154064,0.5006666779518127,30,17.35327976333244,2.0,2,adam,cosine,16
12,gauss,22.094882025527312,16.0,16.247924505284715,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.0,1500,0,-1,0.008666666224598885,0.5006666779518127,30,17.35327976333244,2.0,2,adam,cosine,16
13,gauss,22.094882025527312,16.0,16.247924505284715,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.0,1500,1,5922,0.0,0.5006666779518127,30,17.35327976333244,2.0,2,adam,cosine,16
14,gauss,22.094882025527312,16.0,16.247924505284715,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.0,1500,0,-1,0.03799999877810478,0.5006666779518127,30,17.35327976333244,2.0,2,adam,cosine,16
15,gauss,22.094882025527312,16.0,16.247924505284715,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.0,1500,0,-1,0.007999999448657036,0.5006666779518127,30,17.35327976333244,2.0,2,adam,cosine,16
8,gauss,22.094882025527312,16.0,17.033322668682157,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.2,1600,0,-1,0.022499999031424522,0.5006250143051147,30,17.35327976333244,2.0,2,adam,cosine,16
9,gauss,22.094882025527312,16.0,17.033322668682157,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.2,1600,0,-1,0.051249999552965164,0.5006250143051147,30,17.35327976333244,2.0,2,adam,cosine,16
10,gauss,22.094882025527312,16.0,17.033322668682157,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.2,1600,0,-1,0.018124999478459358,0.5006250143051147,30,17.35327976333244,2.0,2,adam,cosine,16
11,gauss,22.094882025527312,16.0,17.033322668682157,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.2,1600,0,-1,0.011249999515712261,0.5006250143051147,30,17.35327976333244,2.0,2,adam,cosine,16
12,gauss,22.094882025527312,16.0,17.033322668682157,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.2,1600,0,-1,0.03437500074505806,0.5006250143051147,30,17.35327976333244,2.0,2,adam,cosine,16
13,gauss,22.094882025527312,16.0,17.033322668682157,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.2,1600,0,-1,0.008750000037252903,0.5006250143051147,30,17.35327976333244,2.0,2,adam,cosine,16
14,gauss,22.094882025527312,16.0,17.033322668682157,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.2,1600,0,-1,0.021250000223517418,0.5006250143051147,30,17.35327976333244,2.0,2,adam,cosine,16
