seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,gauss,5.526652499360351,64.0,60.721095507665225,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,109,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
1,gauss,5.526652499360351,64.0,60.721095507665225,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,74,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
2,gauss,5.526652499360351,64.0,60.721095507665225,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,86,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
3,gauss,5.526652499360351,64.0,60.721095507665225,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,93,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
4,gauss,5.526652499360351,64.0,60.721095507665225,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,101,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
5,gauss,5.526652499360351,64.0,60.721095507665225,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,85,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
6,gauss,5.526652499360351,64.0,60.721095507665225,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,103,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
7,gauss,5.526652499360351,64.0,60.721095507665225,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,163,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
0,gauss,5.526652499360351,64.0,66.07162049581034,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.4,1200,1,121,0.0,0.5008333325386047,116,4.340622722733537,2.0,2,adam,cosine,16
1,gauss,5.526652499360351,64.0,66.07162049581034,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.4,1200,1,165,0.0,0.5008333325386047,116,4.340622722733537,2.0,2,adam,cosine,16
