seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
8,gauss,5.526652499360351,64.0,63.42090169434395,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,85,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
9,gauss,5.526652499360351,64.0,63.42090169434395,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,103,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
10,gauss,5.526652499360351,64.0,63.42090169434395,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,156,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
11,gauss,5.526652499360351,64.0,63.42090169434395,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,100,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
12,gauss,5.526652499360351,64.0,63.42090169434395,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,97,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
13,gauss,5.526652499360351,64.0,63.42090169434395,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,158,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
14,gauss,5.526652499360351,64.0,63.42090169434395,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,81,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
15,gauss,5.526652499360351,64.0,63.42090169434395,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.2,1100,1,121,0.0,0.5009090900421143,116,4.340622722733537,2.0,2,adam,cosine,16
8,gauss,5.526652499360351,64.0,62.97911522743288,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.4,1200,1,105,0.0,0.5008333325386047,116,4.340622722733537,2.0,2,adam,cosine,16
9,gauss,5.526652499360351,64.0,62.97911522743288,63.9725849054823,16.244138200491403,3.0000938448354635,nan,500,2.4,1200,1,156,0.0,0.5008333325386047,116,4.340622722733537,2.0,2,adam,cosine,16
