seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,138,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
1,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,100,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
2,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,165,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
3,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,222,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
4,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,99,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
5,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,108,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
6,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,91,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
7,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,106,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
0,sinc,0.11618428773526604,32.0,32.3485868549324,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,197,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
1,sinc,0.11618428773526604,32.0,32.3485868549324,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,186,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
2,sinc,0.11618428773526604,32.0,32.3485868549324,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,343,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
3,sinc,0.11618428773526604,32.0,32.3485868549324,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,185,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
4,sinc,0.11618428773526604,32.0,32.3485868549324,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,243,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
