seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
8,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,91,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
9,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,84,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
10,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,97,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
11,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,117,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
12,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,90,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
13,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,133,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
14,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,113,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
15,sinc,0.11618428773526604,32.0,31.415926535897935,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.2,1100,1,117,0.0,0.5009090900421143,75,6.759934399968372,2.0,2,adam,cosine,16
8,sinc,0.11618428773526604,32.0,31.95588777323368,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,151,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
9,sinc,0.11618428773526604,32.0,31.95588777323368,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,233,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
10,sinc,0.11618428773526604,32.0,31.95588777323368,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,259,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
11,sinc,0.11618428773526604,32.0,31.95588777323368,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,537,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
12,sinc,0.11618428773526604,32.0,31.95588777323368,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,465,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
13,sinc,0.11618428773526604,32.0,31.95588777323368,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,125,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
14,sinc,0.11618428773526604,32.0,31.95588777323368,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,220,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
15,sinc,0.11618428773526604,32.0,31.95588777323368,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.4,1200,1,128,0.0,0.5008333325386047,75,6.759934399968372,2.0,2,adam,cosine,16
8,sinc,0.11618428773526604,32.0,30.286916676014098,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.6,1300,1,1764,0.0,0.5007692575454712,75,6.759934399968372,2.0,2,adam,cosine,16
9,sinc,0.11618428773526604,32.0,30.286916676014098,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.6,1300,1,1684,0.0,0.5007692575454712,75,6.759934399968372,2.0,2,adam,cosine,16
10,sinc,0.11618428773526604,32.0,30.286916676014098,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.6,1300,1,384,0.0,0.5007692575454712,75,6.759934399968372,2.0,2,adam,cosine,16
11,sinc,0.11618428773526604,32.0,30.286916676014098,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.6,1300,1,325,0.0,0.5007692575454712,75,6.759934399968372,2.0,2,adam,cosine,16
12,sinc,0.11618428773526604,32.0,30.286916676014098,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.6,1300,1,1103,0.0,0.5007692575454712,75,6.759934399968372,2.0,2,adam,cosine,16
13,sinc,0.11618428773526604,32.0,30.286916676014098,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.6,1300,1,828,0.0,0.5007692575454712,75,6.759934399968372,2.0,2,adam,cosine,16
14,sinc,0.11618428773526604,32.0,30.286916676014098,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.6,1300,1,462,0.0,0.5007692575454712,75,6.759934399968372,2.0,2,adam,cosine,16
15,sinc,0.11618428773526604,32.0,30.286916676014098,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.6,1300,1,3784,0.0,0.5007692575454712,75,6.759934399968372,2.0,2,adam,cosine,16
8,sinc,0.11618428773526604,32.0,32.201324699295384,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.8,1400,1,2622,0.0,0.5007143020629883,75,6.759934399968372,2.0,2,adam,cosine,16
9,sinc,0.11618428773526604,32.0,32.201324699295384,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.8,1400,1,6167,0.0,0.5007143020629883,75,6.759934399968372,2.0,2,adam,cosine,16
10,sinc,0.11618428773526604,32.0,32.201324699295384,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.8,1400,1,2147,0.0,0.5007143020629883,75,6.759934399968372,2.0,2,adam,cosine,16
11,sinc,0.11618428773526604,32.0,32.201324699295384,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.8,1400,1,5511,0.0,0.5007143020629883,75,6.759934399968372,2.0,2,adam,cosine,16
12,sinc,0.11618428773526604,32.0,32.201324699295384,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.8,1400,1,4446,0.0,0.5007143020629883,75,6.759934399968372,2.0,2,adam,cosine,16
13,sinc,0.11618428773526604,32.0,32.201324699295384,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.8,1400,1,5458,0.0,0.5007143020629883,75,6.759934399968372,2.0,2,adam,cosine,16
14,sinc,0.11618428773526604,32.0,32.201324699295384,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.8,1400,1,1411,0.0,0.5007143020629883,75,6.759934399968372,2.0,2,adam,cosine,16
15,sinc,0.11618428773526604,32.0,32.201324699295384,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,2.8,1400,1,5888,0.0,0.5007143020629883,75,6.759934399968372,2.0,2,adam,cosine,16
8,sinc,0.11618428773526604,32.0,32.446761625357084,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,3.0,1500,1,6406,0.0,0.5006666779518127,75,6.759934399968372,2.0,2,adam,cosine,16
9,sinc,0.11618428773526604,32.0,32.446761625357084,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,3.0,1500,1,6682,0.0,0.5006666779518127,75,6.759934399968372,2.0,2,adam,cosine,16
10,sinc,0.11618428773526604,32.0,32.446761625357084,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,3.0,1500,1,5023,0.0,0.5006666779518127,75,6.759934399968372,2.0,2,adam,cosine,16
11,sinc,0.11618428773526604,32.0,32.446761625357084,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,3.0,1500,1,4751,0.0,0.5006666779518127,75,6.759934399968372,2.0,2,adam,cosine,16
12,sinc,0.11618428773526604,32.0,32.446761625357084,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,3.0,1500,1,3207,0.0,0.5006666779518127,75,6.759934399968372,2.0,2,adam,cosine,16
13,sinc,0.11618428773526604,32.0,32.446761625357084,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,3.0,1500,1,6723,0.0,0.5006666779518127,75,6.759934399968372,2.0,2,adam,cosine,16
14,sinc,0.11618428773526604,32.0,32.446761625357084,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,3.0,1500,1,4798,0.0,0.5006666779518127,75,6.759934399968372,2.0,2,adam,cosine,16
15,sinc,0.11618428773526604,32.0,32.446761625357084,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,3.0,1500,1,6470,0.0,0.5006666779518127,75,6.759934399968372,2.0,2,adam,cosine,16
8,sinc,0.11618428773526604,32.0,32.692198551418784,31.999062081330436,8.785296132325918,1.8519541507238582,nan,500,3.2,1600,1,6581,0.0018749999580904841,0.5006250143051147,75,6.759934399968372,2.0,2,adam,cosine,16
