seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,alpha,31.710114846504872,16.0,14.38260386721577,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,145,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
1,alpha,31.710114846504872,16.0,14.38260386721577,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,141,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
2,alpha,31.710114846504872,16.0,14.38260386721577,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,72,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
3,alpha,31.710114846504872,16.0,14.38260386721577,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,87,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
4,alpha,31.710114846504872,16.0,14.38260386721577,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,0,-1,0.01666666753590107,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
5,alpha,31.710114846504872,16.0,14.38260386721577,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,96,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
6,alpha,31.710114846504872,16.0,14.38260386721577,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,0,-1,0.0011111111380159855,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
7,alpha,31.710114846504872,16.0,14.38260386721577,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,330,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
0,alpha,31.710114846504872,16.0,14.480778637640451,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,0,-1,0.007000000216066837,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
1,alpha,31.710114846504872,16.0,14.480778637640451,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,1,165,0.0,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
2,alpha,31.710114846504872,16.0,14.480778637640451,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,1,166,0.0,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
3,alpha,31.710114846504872,16.0,14.480778637640451,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,1,154,0.0,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
4,alpha,31.710114846504872,16.0,14.480778637640451,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,0,-1,0.017000000923871994,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
5,alpha,31.710114846504872,16.0,14.480778637640451,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,1,216,0.0,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
6,alpha,31.710114846504872,16.0,14.480778637640451,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,1,112,0.0,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
7,alpha,31.710114846504872,16.0,14.480778637640451,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,1,99,0.0,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
0,alpha,31.710114846504872,16.0,14.726215563702155,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,0,-1,0.0009090909152291715,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
1,alpha,31.710114846504872,16.0,14.726215563702155,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,1104,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
2,alpha,31.710114846504872,16.0,14.726215563702155,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,524,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
3,alpha,31.710114846504872,16.0,14.726215563702155,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,1043,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
4,alpha,31.710114846504872,16.0,14.726215563702155,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,608,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
5,alpha,31.710114846504872,16.0,14.726215563702155,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,1916,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
6,alpha,31.710114846504872,16.0,14.726215563702155,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,0,-1,0.00909090880304575,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
7,alpha,31.710114846504872,16.0,14.726215563702155,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,512,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
0,alpha,31.710114846504872,16.0,13.597205703818323,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,1,1913,0.0,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
1,alpha,31.710114846504872,16.0,13.597205703818323,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,0,-1,0.005833333358168602,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
2,alpha,31.710114846504872,16.0,13.597205703818323,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,0,-1,0.008333333767950535,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
3,alpha,31.710114846504872,16.0,13.597205703818323,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,1,3160,0.0,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
4,alpha,31.710114846504872,16.0,13.597205703818323,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,0,-1,0.0008333333535119891,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
5,alpha,31.710114846504872,16.0,13.597205703818323,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,1,3736,0.0008333333535119891,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
6,alpha,31.710114846504872,16.0,13.597205703818323,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,1,4188,0.0,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
7,alpha,31.710114846504872,16.0,13.597205703818323,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,0,-1,0.04583333432674408,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
0,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,1,5579,0.0,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
1,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,0,-1,0.0007692307699471712,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
2,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,1,6922,0.0007692307699471712,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
3,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,0,-1,0.08076923340559006,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
4,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,0,-1,0.02153846248984337,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
5,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,0,-1,0.0023076923098415136,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
6,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,0,-1,0.0007692307699471712,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
7,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,0,-1,0.023076923564076424,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
0,alpha,31.710114846504872,16.0,14.18625432636641,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.8,1400,0,-1,0.0178571417927742,0.5007143020629883,21,24.905065961567082,2.0,2,adam,cosine,16
1,alpha,31.710114846504872,16.0,14.18625432636641,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.8,1400,0,-1,0.0035714285913854837,0.5007143020629883,21,24.905065961567082,2.0,2,adam,cosine,16
2,alpha,31.710114846504872,16.0,14.18625432636641,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.8,1400,0,-1,0.016428571194410324,0.5007143020629883,21,24.905065961567082,2.0,2,adam,cosine,16
