seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
8,alpha,31.710114846504872,16.0,14.628040793277473,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,92,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
9,alpha,31.710114846504872,16.0,14.628040793277473,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,71,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
10,alpha,31.710114846504872,16.0,14.628040793277473,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,113,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
11,alpha,31.710114846504872,16.0,14.628040793277473,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,114,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
12,alpha,31.710114846504872,16.0,14.628040793277473,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,95,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
13,alpha,31.710114846504872,16.0,14.628040793277473,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,175,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
14,alpha,31.710114846504872,16.0,14.628040793277473,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,1,115,0.0,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
15,alpha,31.710114846504872,16.0,14.628040793277473,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,1.8,900,0,-1,0.007777777966111898,0.5011111497879028,21,24.905065961567082,2.0,2,adam,cosine,16
8,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,1,115,0.0,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
9,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,0,-1,0.0020000000949949026,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
10,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,1,212,0.0020000000949949026,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
11,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,0,-1,0.003000000026077032,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
12,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,0,-1,0.00800000037997961,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
13,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,1,153,0.0,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
14,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,0,-1,0.003000000026077032,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
15,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.0,1000,1,218,0.004000000189989805,0.5010000467300415,21,24.905065961567082,2.0,2,adam,cosine,16
8,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,3233,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
9,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,1070,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
10,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,1080,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
11,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,0,-1,0.0009090909152291715,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
12,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,1894,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
13,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,1955,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
14,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,492,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
15,alpha,31.710114846504872,16.0,14.971652489763859,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.2,1100,1,3463,0.0,0.5009090900421143,21,24.905065961567082,2.0,2,adam,cosine,16
8,alpha,31.710114846504872,16.0,14.235341711578752,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,1,4503,0.0,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
9,alpha,31.710114846504872,16.0,14.235341711578752,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,1,3467,0.0,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
10,alpha,31.710114846504872,16.0,14.235341711578752,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,0,-1,0.0016666667070239782,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
11,alpha,31.710114846504872,16.0,14.235341711578752,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,0,-1,0.015833333134651184,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
12,alpha,31.710114846504872,16.0,14.235341711578752,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,1,5230,0.0,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
13,alpha,31.710114846504872,16.0,14.235341711578752,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,1,5413,0.0,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
14,alpha,31.710114846504872,16.0,14.235341711578752,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,0,-1,0.004999999888241291,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
15,alpha,31.710114846504872,16.0,14.235341711578752,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.4,1200,1,4201,0.0,0.5008333325386047,21,24.905065961567082,2.0,2,adam,cosine,16
8,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,0,-1,0.019999999552965164,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
9,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,0,-1,0.0007692307699471712,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
10,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,1,6281,0.0,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
11,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,0,-1,0.009230769239366055,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
12,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,0,-1,0.0007692307699471712,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
13,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,0,-1,0.0023076923098415136,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
14,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,1,6163,0.0,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
15,alpha,31.710114846504872,16.0,14.529866022852794,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.6,1300,1,4003,0.0,0.5007692575454712,21,24.905065961567082,2.0,2,adam,cosine,16
8,alpha,31.710114846504872,16.0,13.989904785517046,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.8,1400,0,-1,0.0071428571827709675,0.5007143020629883,21,24.905065961567082,2.0,2,adam,cosine,16
9,alpha,31.710114846504872,16.0,13.989904785517046,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.8,1400,0,-1,0.03285714238882065,0.5007143020629883,21,24.905065961567082,2.0,2,adam,cosine,16
10,alpha,31.710114846504872,16.0,13.989904785517046,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.8,1400,0,-1,0.0057142856530845165,0.5007143020629883,21,24.905065961567082,2.0,2,adam,cosine,16
11,alpha,31.710114846504872,16.0,13.989904785517046,15.999160864830955,3.5543477374315695,5.481722833914588,nan,500,2.8,1400,0,-1,0.017142856493592262,0.5007143020629883,21,24.905065961567082,2.0,2,adam,cosine,16
