seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,alpha,15.972782748863507,32.0,27.979809571034092,32.001245083733,7.119225695456951,5.543789572451107,nan,500,1.8,900,1,56,0.0,0.5011111497879028,41,12.544994235303843,2.0,2,adam,cosine,16
1,alpha,15.972782748863507,32.0,27.979809571034092,32.001245083733,7.119225695456951,5.543789572451107,nan,500,1.8,900,1,95,0.0,0.5011111497879028,41,12.544994235303843,2.0,2,adam,cosine,16
2,alpha,15.972782748863507,32.0,27.979809571034092,32.001245083733,7.119225695456951,5.543789572451107,nan,500,1.8,900,1,61,0.0,0.5011111497879028,41,12.544994235303843,2.0,2,adam,cosine,16
3,alpha,15.972782748863507,32.0,27.979809571034092,32.001245083733,7.119225695456951,5.543789572451107,nan,500,1.8,900,1,98,0.0011111111380159855,0.5011111497879028,41,12.544994235303843,2.0,2,adam,cosine,16
4,alpha,15.972782748863507,32.0,27.979809571034092,32.001245083733,7.119225695456951,5.543789572451107,nan,500,1.8,900,1,68,0.0,0.5011111497879028,41,12.544994235303843,2.0,2,adam,cosine,16
5,alpha,15.972782748863507,32.0,27.979809571034092,32.001245083733,7.119225695456951,5.543789572451107,nan,500,1.8,900,1,65,0.0,0.5011111497879028,41,12.544994235303843,2.0,2,adam,cosine,16
6,alpha,15.972782748863507,32.0,27.979809571034092,32.001245083733,7.119225695456951,5.543789572451107,nan,500,1.8,900,1,74,0.0,0.5011111497879028,41,12.544994235303843,2.0,2,adam,cosine,16
7,alpha,15.972782748863507,32.0,27.979809571034092,32.001245083733,7.119225695456951,5.543789572451107,nan,500,1.8,900,1,63,0.0,0.5011111497879028,41,12.544994235303843,2.0,2,adam,cosine,16
0,alpha,15.972782748863507,32.0,27.096236637211966,32.001245083733,7.119225695456951,5.543789572451107,nan,500,2.0,1000,1,355,0.0,0.5010000467300415,41,12.544994235303843,2.0,2,adam,cosine,16
1,alpha,15.972782748863507,32.0,27.096236637211966,32.001245083733,7.119225695456951,5.543789572451107,nan,500,2.0,1000,1,212,0.0,0.5010000467300415,41,12.544994235303843,2.0,2,adam,cosine,16
