seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,alpha,8.017049911920846,64.0,52.47441479199201,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,1.8,900,1,41,0.0,0.5011111497879028,80,6.296576276688308,2.0,2,adam,cosine,16
1,alpha,8.017049911920846,64.0,52.47441479199201,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,1.8,900,1,87,0.0,0.5011111497879028,80,6.296576276688308,2.0,2,adam,cosine,16
2,alpha,8.017049911920846,64.0,52.47441479199201,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,1.8,900,1,48,0.0,0.5011111497879028,80,6.296576276688308,2.0,2,adam,cosine,16
3,alpha,8.017049911920846,64.0,52.47441479199201,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,1.8,900,1,68,0.0,0.5011111497879028,80,6.296576276688308,2.0,2,adam,cosine,16
4,alpha,8.017049911920846,64.0,52.47441479199201,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,1.8,900,1,55,0.0,0.5011111497879028,80,6.296576276688308,2.0,2,adam,cosine,16
5,alpha,8.017049911920846,64.0,52.47441479199201,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,1.8,900,1,89,0.0,0.5011111497879028,80,6.296576276688308,2.0,2,adam,cosine,16
6,alpha,8.017049911920846,64.0,52.47441479199201,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,1.8,900,1,71,0.0,0.5011111497879028,80,6.296576276688308,2.0,2,adam,cosine,16
7,alpha,8.017049911920846,64.0,52.47441479199201,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,1.8,900,1,53,0.0,0.5011111497879028,80,6.296576276688308,2.0,2,adam,cosine,16
0,alpha,8.017049911920846,64.0,52.71985171805372,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,2.0,1000,1,100,0.0,0.5010000467300415,80,6.296576276688308,2.0,2,adam,cosine,16
1,alpha,8.017049911920846,64.0,52.71985171805372,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,2.0,1000,1,75,0.0,0.5010000467300415,80,6.296576276688308,2.0,2,adam,cosine,16
2,alpha,8.017049911920846,64.0,52.71985171805372,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,2.0,1000,1,184,0.0,0.5010000467300415,80,6.296576276688308,2.0,2,adam,cosine,16
3,alpha,8.017049911920846,64.0,52.71985171805372,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,2.0,1000,1,96,0.0,0.5010000467300415,80,6.296576276688308,2.0,2,adam,cosine,16
4,alpha,8.017049911920846,64.0,52.71985171805372,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,2.0,1000,1,115,0.0,0.5010000467300415,80,6.296576276688308,2.0,2,adam,cosine,16
5,alpha,8.017049911920846,64.0,52.71985171805372,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,2.0,1000,1,87,0.0,0.5010000467300415,80,6.296576276688308,2.0,2,adam,cosine,16
6,alpha,8.017049911920846,64.0,52.71985171805372,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,2.0,1000,1,137,0.0,0.5010000467300415,80,6.296576276688308,2.0,2,adam,cosine,16
7,alpha,8.017049911920846,64.0,52.71985171805372,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,2.0,1000,1,116,0.0,0.5010000467300415,80,6.296576276688308,2.0,2,adam,cosine,16
