seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,gabor,65.75319647294198,16.0,15.757050653161308,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.0,1000,1,164,0.0,0.5010000467300415,30,17.2141465824534,2.0,2,adam,cosine,16
1,gabor,65.75319647294198,16.0,15.757050653161308,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.0,1000,1,121,0.0,0.5010000467300415,30,17.2141465824534,2.0,2,adam,cosine,16
2,gabor,65.75319647294198,16.0,15.757050653161308,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.0,1000,1,160,0.0,0.5010000467300415,30,17.2141465824534,2.0,2,adam,cosine,16
3,gabor,65.75319647294198,16.0,15.757050653161308,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.0,1000,1,104,0.0,0.5010000467300415,30,17.2141465824534,2.0,2,adam,cosine,16
4,gabor,65.75319647294198,16.0,15.757050653161308,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.0,1000,1,230,0.0,0.5010000467300415,30,17.2141465824534,2.0,2,adam,cosine,16
5,gabor,65.75319647294198,16.0,15.757050653161308,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.0,1000,1,166,0.0,0.5010000467300415,30,17.2141465824534,2.0,2,adam,cosine,16
6,gabor,65.75319647294198,16.0,15.757050653161308,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.0,1000,1,177,0.0,0.5010000467300415,30,17.2141465824534,2.0,2,adam,cosine,16
7,gabor,65.75319647294198,16.0,15.757050653161308,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.0,1000,1,223,0.0,0.5010000467300415,30,17.2141465824534,2.0,2,adam,cosine,16
0,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.2,1100,1,269,0.0,0.5009090900421143,30,17.2141465824534,2.0,2,adam,cosine,16
1,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.2,1100,1,767,0.0,0.5009090900421143,30,17.2141465824534,2.0,2,adam,cosine,16
2,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.2,1100,1,388,0.0,0.5009090900421143,30,17.2141465824534,2.0,2,adam,cosine,16
3,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.2,1100,1,228,0.0,0.5009090900421143,30,17.2141465824534,2.0,2,adam,cosine,16
4,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.2,1100,1,322,0.0,0.5009090900421143,30,17.2141465824534,2.0,2,adam,cosine,16
5,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.2,1100,1,596,0.0,0.5009090900421143,30,17.2141465824534,2.0,2,adam,cosine,16
6,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.2,1100,1,175,0.0,0.5009090900421143,30,17.2141465824534,2.0,2,adam,cosine,16
7,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.2,1100,1,446,0.0,0.5009090900421143,30,17.2141465824534,2.0,2,adam,cosine,16
0,gabor,65.75319647294198,16.0,15.21708941582556,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.4,1200,1,1921,0.0,0.5008333325386047,30,17.2141465824534,2.0,2,adam,cosine,16
1,gabor,65.75319647294198,16.0,15.21708941582556,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.4,1200,1,1872,0.0,0.5008333325386047,30,17.2141465824534,2.0,2,adam,cosine,16
2,gabor,65.75319647294198,16.0,15.21708941582556,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.4,1200,1,1384,0.0,0.5008333325386047,30,17.2141465824534,2.0,2,adam,cosine,16
3,gabor,65.75319647294198,16.0,15.21708941582556,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.4,1200,1,845,0.0,0.5008333325386047,30,17.2141465824534,2.0,2,adam,cosine,16
4,gabor,65.75319647294198,16.0,15.21708941582556,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.4,1200,1,940,0.0,0.5008333325386047,30,17.2141465824534,2.0,2,adam,cosine,16
5,gabor,65.75319647294198,16.0,15.21708941582556,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.4,1200,1,2367,0.0,0.5008333325386047,30,17.2141465824534,2.0,2,adam,cosine,16
6,gabor,65.75319647294198,16.0,15.21708941582556,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.4,1200,1,850,0.0,0.5008333325386047,30,17.2141465824534,2.0,2,adam,cosine,16
7,gabor,65.75319647294198,16.0,15.21708941582556,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.4,1200,1,1892,0.0,0.5008333325386047,30,17.2141465824534,2.0,2,adam,cosine,16
0,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.6,1300,1,3019,0.0,0.5007692575454712,30,17.2141465824534,2.0,2,adam,cosine,16
1,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.6,1300,1,4030,0.0,0.5007692575454712,30,17.2141465824534,2.0,2,adam,cosine,16
2,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.6,1300,1,2574,0.0,0.5007692575454712,30,17.2141465824534,2.0,2,adam,cosine,16
3,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.6,1300,1,2721,0.0,0.5007692575454712,30,17.2141465824534,2.0,2,adam,cosine,16
4,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.6,1300,1,4047,0.0,0.5007692575454712,30,17.2141465824534,2.0,2,adam,cosine,16
5,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.6,1300,1,2255,0.0,0.5007692575454712,30,17.2141465824534,2.0,2,adam,cosine,16
6,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.6,1300,1,2441,0.0,0.5007692575454712,30,17.2141465824534,2.0,2,adam,cosine,16
7,gabor,65.75319647294198,16.0,16.493361431346415,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.6,1300,1,3456,0.0,0.5007692575454712,30,17.2141465824534,2.0,2,adam,cosine,16
0,gabor,65.75319647294198,16.0,15.609788497524285,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.8,1400,1,4845,0.0,0.5007143020629883,30,17.2141465824534,2.0,2,adam,cosine,16
1,gabor,65.75319647294198,16.0,15.609788497524285,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.8,1400,1,4404,0.0,0.5007143020629883,30,17.2141465824534,2.0,2,adam,cosine,16
2,gabor,65.75319647294198,16.0,15.609788497524285,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.8,1400,1,4473,0.0,0.5007143020629883,30,17.2141465824534,2.0,2,adam,cosine,16
3,gabor,65.75319647294198,16.0,15.609788497524285,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.8,1400,1,3731,0.0,0.5007143020629883,30,17.2141465824534,2.0,2,adam,cosine,16
4,gabor,65.75319647294198,16.0,15.609788497524285,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.8,1400,1,4541,0.0,0.5007143020629883,30,17.2141465824534,2.0,2,adam,cosine,16
5,gabor,65.75319647294198,16.0,15.609788497524285,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.8,1400,1,3893,0.0,0.5007143020629883,30,17.2141465824534,2.0,2,adam,cosine,16
6,gabor,65.75319647294198,16.0,15.609788497524285,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.8,1400,1,4538,0.0,0.5007143020629883,30,17.2141465824534,2.0,2,adam,cosine,16
7,gabor,65.75319647294198,16.0,15.609788497524285,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,2.8,1400,1,4682,0.0,0.5007143020629883,30,17.2141465824534,2.0,2,adam,cosine,16
0,gabor,65.75319647294198,16.0,17.033322668682157,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,3.0,1500,1,5367,0.0,0.5006666779518127,30,17.2141465824534,2.0,2,adam,cosine,16
1,gabor,65.75319647294198,16.0,17.033322668682157,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,3.0,1500,1,6140,0.0,0.5006666779518127,30,17.2141465824534,2.0,2,adam,cosine,16
2,gabor,65.75319647294198,16.0,17.033322668682157,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,3.0,1500,1,5457,0.0,0.5006666779518127,30,17.2141465824534,2.0,2,adam,cosine,16
3,gabor,65.75319647294198,16.0,17.033322668682157,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,3.0,1500,1,6243,0.0,0.5006666779518127,30,17.2141465824534,2.0,2,adam,cosine,16
4,gabor,65.75319647294198,16.0,17.033322668682157,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,3.0,1500,1,6124,0.0,0.5006666779518127,30,17.2141465824534,2.0,2,adam,cosine,16
5,gabor,65.75319647294198,16.0,17.033322668682157,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,3.0,1500,1,5156,0.0,0.5006666779518127,30,17.2141465824534,2.0,2,adam,cosine,16
6,gabor,65.75319647294198,16.0,17.033322668682157,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,3.0,1500,1,5890,0.0,0.5006666779518127,30,17.2141465824534,2.0,2,adam,cosine,16
7,gabor,65.75319647294198,16.0,17.033322668682157,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,3.0,1500,1,5684,0.0,0.5006666779518127,30,17.2141465824534,2.0,2,adam,cosine,16
0,gabor,65.75319647294198,16.0,15.462526341887262,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,3.2,1600,1,5577,0.0,0.5006250143051147,30,17.2141465824534,2.0,2,adam,cosine,16
1,gabor,65.75319647294198,16.0,15.462526341887262,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,3.2,1600,1,5993,0.0,0.5006250143051147,30,17.2141465824534,2.0,2,adam,cosine,16
2,gabor,65.75319647294198,16.0,15.462526341887262,16.001461293851722,4.779504775577468,1.4405782287073146,2.0,500,3.2,1600,1,6588,0.0,0.5006250143051147,30,17.2141465824534,2.0,2,adam,cosine,16
