seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,gabor,126.92915865815681,16.0,15.609788497524285,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,202,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
1,gabor,126.92915865815681,16.0,15.609788497524285,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,139,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
2,gabor,126.92915865815681,16.0,15.609788497524285,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,241,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
3,gabor,126.92915865815681,16.0,15.609788497524285,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,110,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
4,gabor,126.92915865815681,16.0,15.609788497524285,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,370,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
5,gabor,126.92915865815681,16.0,15.609788497524285,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,195,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
6,gabor,126.92915865815681,16.0,15.609788497524285,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,523,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
7,gabor,126.92915865815681,16.0,15.609788497524285,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,439,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
0,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.2,1100,1,1116,0.0,0.5009090900421143,26,19.937985618339937,2.0,2,adam,cosine,16
1,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.2,1100,1,1034,0.0,0.5009090900421143,26,19.937985618339937,2.0,2,adam,cosine,16
2,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.2,1100,1,614,0.0,0.5009090900421143,26,19.937985618339937,2.0,2,adam,cosine,16
3,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.2,1100,1,899,0.0,0.5009090900421143,26,19.937985618339937,2.0,2,adam,cosine,16
4,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.2,1100,1,1663,0.0,0.5009090900421143,26,19.937985618339937,2.0,2,adam,cosine,16
5,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.2,1100,1,437,0.0,0.5009090900421143,26,19.937985618339937,2.0,2,adam,cosine,16
6,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.2,1100,1,980,0.0,0.5009090900421143,26,19.937985618339937,2.0,2,adam,cosine,16
7,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.2,1100,1,1431,0.0,0.5009090900421143,26,19.937985618339937,2.0,2,adam,cosine,16
0,gabor,126.92915865815681,16.0,15.511613727099602,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.4,1200,1,2504,0.0,0.5008333325386047,26,19.937985618339937,2.0,2,adam,cosine,16
1,gabor,126.92915865815681,16.0,15.511613727099602,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.4,1200,1,2907,0.0,0.5008333325386047,26,19.937985618339937,2.0,2,adam,cosine,16
2,gabor,126.92915865815681,16.0,15.511613727099602,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.4,1200,1,2057,0.0,0.5008333325386047,26,19.937985618339937,2.0,2,adam,cosine,16
3,gabor,126.92915865815681,16.0,15.511613727099602,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.4,1200,1,1620,0.0,0.5008333325386047,26,19.937985618339937,2.0,2,adam,cosine,16
4,gabor,126.92915865815681,16.0,15.511613727099602,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.4,1200,1,2497,0.0,0.5008333325386047,26,19.937985618339937,2.0,2,adam,cosine,16
