seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
8,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,319,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
9,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,150,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
10,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,213,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
11,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,172,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
12,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,248,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
13,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,230,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
14,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,146,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
15,gabor,126.92915865815681,16.0,16.002487579223008,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.0,1000,1,194,0.0,0.5010000467300415,26,19.937985618339937,2.0,2,adam,cosine,16
8,gabor,126.92915865815681,16.0,15.757050653161308,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.2,1100,1,806,0.0,0.5009090900421143,26,19.937985618339937,2.0,2,adam,cosine,16
9,gabor,126.92915865815681,16.0,15.757050653161308,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,2.2,1100,1,390,0.0,0.5009090900421143,26,19.937985618339937,2.0,2,adam,cosine,16
