seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
8,gabor,31.732962617967992,64.0,61.99736752318607,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.0,1000,1,373,0.0,0.5010000467300415,101,4.984602111862389,2.0,2,adam,cosine,16
9,gabor,31.732962617967992,64.0,61.99736752318607,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.0,1000,1,135,0.0,0.5010000467300415,101,4.984602111862389,2.0,2,adam,cosine,16
10,gabor,31.732962617967992,64.0,61.99736752318607,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.0,1000,1,306,0.0,0.5010000467300415,101,4.984602111862389,2.0,2,adam,cosine,16
11,gabor,31.732962617967992,64.0,61.99736752318607,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.0,1000,1,286,0.0,0.5010000467300415,101,4.984602111862389,2.0,2,adam,cosine,16
12,gabor,31.732962617967992,64.0,61.99736752318607,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.0,1000,1,396,0.0,0.5010000467300415,101,4.984602111862389,2.0,2,adam,cosine,16
13,gabor,31.732962617967992,64.0,61.99736752318607,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.0,1000,1,298,0.0,0.5010000467300415,101,4.984602111862389,2.0,2,adam,cosine,16
14,gabor,31.732962617967992,64.0,61.99736752318607,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.0,1000,1,350,0.0,0.5010000467300415,101,4.984602111862389,2.0,2,adam,cosine,16
15,gabor,31.732962617967992,64.0,61.99736752318607,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.0,1000,1,138,0.0,0.5010000467300415,101,4.984602111862389,2.0,2,adam,cosine,16
8,gabor,31.732962617967992,64.0,63.960862931679685,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.2,1100,1,738,0.0,0.5009090900421143,101,4.984602111862389,2.0,2,adam,cosine,16
9,gabor,31.732962617967992,64.0,63.960862931679685,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.2,1100,1,971,0.0,0.5009090900421143,101,4.984602111862389,2.0,2,adam,cosine,16
10,gabor,31.732962617967992,64.0,63.960862931679685,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.2,1100,1,718,0.0,0.5009090900421143,101,4.984602111862389,2.0,2,adam,cosine,16
11,gabor,31.732962617967992,64.0,63.960862931679685,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.2,1100,1,1530,0.0,0.5009090900421143,101,4.984602111862389,2.0,2,adam,cosine,16
12,gabor,31.732962617967992,64.0,63.960862931679685,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.2,1100,1,1083,0.0,0.5009090900421143,101,4.984602111862389,2.0,2,adam,cosine,16
13,gabor,31.732962617967992,64.0,63.960862931679685,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.2,1100,1,934,0.0,0.5009090900421143,101,4.984602111862389,2.0,2,adam,cosine,16
14,gabor,31.732962617967992,64.0,63.960862931679685,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.2,1100,1,1692,0.0,0.5009090900421143,101,4.984602111862389,2.0,2,adam,cosine,16
15,gabor,31.732962617967992,64.0,63.960862931679685,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.2,1100,1,744,0.0,0.5009090900421143,101,4.984602111862389,2.0,2,adam,cosine,16
8,gabor,31.732962617967992,64.0,63.077289997857555,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,2.4,1200,1,2213,0.0,0.5008333325386047,101,4.984602111862389,2.0,2,adam,cosine,16
