seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,gabor,125.50566525801672,32.0,32.49584901056943,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,389,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
1,gabor,125.50566525801672,32.0,32.49584901056943,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,238,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
2,gabor,125.50566525801672,32.0,32.49584901056943,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,400,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
3,gabor,125.50566525801672,32.0,32.49584901056943,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,322,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
4,gabor,125.50566525801672,32.0,32.49584901056943,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,354,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
5,gabor,125.50566525801672,32.0,32.49584901056943,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,403,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
6,gabor,125.50566525801672,32.0,32.49584901056943,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,135,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
7,gabor,125.50566525801672,32.0,32.49584901056943,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,315,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
0,gabor,125.50566525801672,32.0,32.692198551418784,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,1066,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
1,gabor,125.50566525801672,32.0,32.692198551418784,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,689,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
2,gabor,125.50566525801672,32.0,32.692198551418784,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,1228,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
3,gabor,125.50566525801672,32.0,32.692198551418784,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,1016,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
4,gabor,125.50566525801672,32.0,32.692198551418784,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,1101,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
5,gabor,125.50566525801672,32.0,32.692198551418784,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,1045,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
6,gabor,125.50566525801672,32.0,32.692198551418784,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,923,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
7,gabor,125.50566525801672,32.0,32.692198551418784,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,1197,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
0,gabor,125.50566525801672,32.0,32.054062543658354,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2649,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
1,gabor,125.50566525801672,32.0,32.054062543658354,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2092,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
2,gabor,125.50566525801672,32.0,32.054062543658354,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2505,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
3,gabor,125.50566525801672,32.0,32.054062543658354,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2124,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
4,gabor,125.50566525801672,32.0,32.054062543658354,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2744,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
5,gabor,125.50566525801672,32.0,32.054062543658354,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2182,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
6,gabor,125.50566525801672,32.0,32.054062543658354,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2470,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
7,gabor,125.50566525801672,32.0,32.054062543658354,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2666,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
0,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3678,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
1,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3498,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
2,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3360,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
3,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3043,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
4,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3359,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
5,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,2856,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
6,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3222,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
7,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3525,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
0,gabor,125.50566525801672,32.0,31.906800388021335,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4460,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
1,gabor,125.50566525801672,32.0,31.906800388021335,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,3906,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
2,gabor,125.50566525801672,32.0,31.906800388021335,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4141,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
3,gabor,125.50566525801672,32.0,31.906800388021335,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4095,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
4,gabor,125.50566525801672,32.0,31.906800388021335,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4301,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
5,gabor,125.50566525801672,32.0,31.906800388021335,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4357,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
