seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
8,gabor,125.50566525801672,32.0,32.446761625357084,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,165,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
9,gabor,125.50566525801672,32.0,32.446761625357084,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,312,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
10,gabor,125.50566525801672,32.0,32.446761625357084,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,413,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
11,gabor,125.50566525801672,32.0,32.446761625357084,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,363,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
12,gabor,125.50566525801672,32.0,32.446761625357084,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,163,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
13,gabor,125.50566525801672,32.0,32.446761625357084,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,286,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
14,gabor,125.50566525801672,32.0,32.446761625357084,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,361,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
15,gabor,125.50566525801672,32.0,32.446761625357084,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.0,1000,1,416,0.0,0.5010000467300415,47,10.952435443291252,2.0,2,adam,cosine,16
8,gabor,125.50566525801672,32.0,32.397674240144745,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,1357,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
9,gabor,125.50566525801672,32.0,32.397674240144745,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,814,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
10,gabor,125.50566525801672,32.0,32.397674240144745,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,876,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
11,gabor,125.50566525801672,32.0,32.397674240144745,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,683,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
12,gabor,125.50566525801672,32.0,32.397674240144745,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,1688,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
13,gabor,125.50566525801672,32.0,32.397674240144745,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,278,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
14,gabor,125.50566525801672,32.0,32.397674240144745,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,1529,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
15,gabor,125.50566525801672,32.0,32.397674240144745,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.2,1100,1,907,0.0,0.5009090900421143,47,10.952435443291252,2.0,2,adam,cosine,16
8,gabor,125.50566525801672,32.0,32.004975158446015,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2473,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
9,gabor,125.50566525801672,32.0,32.004975158446015,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2089,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
10,gabor,125.50566525801672,32.0,32.004975158446015,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2250,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
11,gabor,125.50566525801672,32.0,32.004975158446015,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2039,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
12,gabor,125.50566525801672,32.0,32.004975158446015,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2248,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
13,gabor,125.50566525801672,32.0,32.004975158446015,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2009,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
14,gabor,125.50566525801672,32.0,32.004975158446015,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2724,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
15,gabor,125.50566525801672,32.0,32.004975158446015,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.4,1200,1,2011,0.0,0.5008333325386047,47,10.952435443291252,2.0,2,adam,cosine,16
8,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3133,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
9,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3617,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
10,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3424,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
11,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3376,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
12,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3486,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
13,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3187,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
14,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,2803,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
15,gabor,125.50566525801672,32.0,31.857713002809,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.6,1300,1,3271,0.0,0.5007692575454712,47,10.952435443291252,2.0,2,adam,cosine,16
8,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4291,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
9,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4027,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
10,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4417,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
11,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4598,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
12,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4445,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
13,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4323,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
14,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4320,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
15,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,2.8,1400,1,4446,0.0,0.5007143020629883,47,10.952435443291252,2.0,2,adam,cosine,16
8,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.0,1500,1,4714,0.0,0.5006666779518127,47,10.952435443291252,2.0,2,adam,cosine,16
9,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.0,1500,1,4580,0.0,0.5006666779518127,47,10.952435443291252,2.0,2,adam,cosine,16
10,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.0,1500,1,4698,0.0,0.5006666779518127,47,10.952435443291252,2.0,2,adam,cosine,16
11,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.0,1500,1,5253,0.0,0.5006666779518127,47,10.952435443291252,2.0,2,adam,cosine,16
12,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.0,1500,1,4633,0.0,0.5006666779518127,47,10.952435443291252,2.0,2,adam,cosine,16
13,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.0,1500,1,4918,0.0,0.5006666779518127,47,10.952435443291252,2.0,2,adam,cosine,16
14,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.0,1500,1,4679,0.0,0.5006666779518127,47,10.952435443291252,2.0,2,adam,cosine,16
15,gabor,125.50566525801672,32.0,31.95588777323368,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.0,1500,1,5148,0.0,0.5006666779518127,47,10.952435443291252,2.0,2,adam,cosine,16
8,gabor,125.50566525801672,32.0,32.201324699295384,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.2,1600,1,6388,0.0,0.5006250143051147,47,10.952435443291252,2.0,2,adam,cosine,16
9,gabor,125.50566525801672,32.0,32.201324699295384,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.2,1600,1,5518,0.0,0.5006250143051147,47,10.952435443291252,2.0,2,adam,cosine,16
10,gabor,125.50566525801672,32.0,32.201324699295384,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.2,1600,1,6039,0.0,0.5006250143051147,47,10.952435443291252,2.0,2,adam,cosine,16
11,gabor,125.50566525801672,32.0,32.201324699295384,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.2,1600,1,5607,0.0,0.5006250143051147,47,10.952435443291252,2.0,2,adam,cosine,16
12,gabor,125.50566525801672,32.0,32.201324699295384,31.995325125654077,10.144876918603629,1.0308876472947042,8.0,500,3.2,1600,1,6579,0.0,0.5006250143051147,47,10.952435443291252,2.0,2,adam,cosine,16
