seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
8,gabor,62.75349803182737,64.0,63.469989079556285,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.0,1000,1,217,0.0,0.5010000467300415,92,5.476275788995845,2.0,2,adam,cosine,16
9,gabor,62.75349803182737,64.0,63.469989079556285,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.0,1000,1,374,0.0,0.5010000467300415,92,5.476275788995845,2.0,2,adam,cosine,16
10,gabor,62.75349803182737,64.0,63.469989079556285,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.0,1000,1,327,0.0,0.5010000467300415,92,5.476275788995845,2.0,2,adam,cosine,16
11,gabor,62.75349803182737,64.0,63.469989079556285,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.0,1000,1,249,0.0,0.5010000467300415,92,5.476275788995845,2.0,2,adam,cosine,16
12,gabor,62.75349803182737,64.0,63.469989079556285,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.0,1000,1,246,0.0,0.5010000467300415,92,5.476275788995845,2.0,2,adam,cosine,16
13,gabor,62.75349803182737,64.0,63.469989079556285,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.0,1000,1,353,0.0,0.5010000467300415,92,5.476275788995845,2.0,2,adam,cosine,16
14,gabor,62.75349803182737,64.0,63.469989079556285,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.0,1000,1,256,0.0,0.5010000467300415,92,5.476275788995845,2.0,2,adam,cosine,16
15,gabor,62.75349803182737,64.0,63.469989079556285,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.0,1000,1,497,0.0,0.5010000467300415,92,5.476275788995845,2.0,2,adam,cosine,16
8,gabor,62.75349803182737,64.0,64.05903770210438,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.2,1100,1,853,0.0,0.5009090900421143,92,5.476275788995845,2.0,2,adam,cosine,16
9,gabor,62.75349803182737,64.0,64.05903770210438,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.2,1100,1,816,0.0,0.5009090900421143,92,5.476275788995845,2.0,2,adam,cosine,16
10,gabor,62.75349803182737,64.0,64.05903770210438,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.2,1100,1,445,0.0,0.5009090900421143,92,5.476275788995845,2.0,2,adam,cosine,16
11,gabor,62.75349803182737,64.0,64.05903770210438,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.2,1100,1,1444,0.0,0.5009090900421143,92,5.476275788995845,2.0,2,adam,cosine,16
12,gabor,62.75349803182737,64.0,64.05903770210438,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.2,1100,1,718,0.0,0.5009090900421143,92,5.476275788995845,2.0,2,adam,cosine,16
13,gabor,62.75349803182737,64.0,64.05903770210438,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.2,1100,1,848,0.0,0.5009090900421143,92,5.476275788995845,2.0,2,adam,cosine,16
14,gabor,62.75349803182737,64.0,64.05903770210438,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.2,1100,1,1070,0.0,0.5009090900421143,92,5.476275788995845,2.0,2,adam,cosine,16
15,gabor,62.75349803182737,64.0,64.05903770210438,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.2,1100,1,1051,0.0,0.5009090900421143,92,5.476275788995845,2.0,2,adam,cosine,16
8,gabor,62.75349803182737,64.0,63.81360077604267,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.4,1200,1,2653,0.0,0.5008333325386047,92,5.476275788995845,2.0,2,adam,cosine,16
9,gabor,62.75349803182737,64.0,63.81360077604267,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.4,1200,1,2789,0.0,0.5008333325386047,92,5.476275788995845,2.0,2,adam,cosine,16
10,gabor,62.75349803182737,64.0,63.81360077604267,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.4,1200,1,1818,0.0,0.5008333325386047,92,5.476275788995845,2.0,2,adam,cosine,16
11,gabor,62.75349803182737,64.0,63.81360077604267,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.4,1200,1,2112,0.0,0.5008333325386047,92,5.476275788995845,2.0,2,adam,cosine,16
12,gabor,62.75349803182737,64.0,63.81360077604267,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.4,1200,1,2230,0.0,0.5008333325386047,92,5.476275788995845,2.0,2,adam,cosine,16
13,gabor,62.75349803182737,64.0,63.81360077604267,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.4,1200,1,2366,0.0,0.5008333325386047,92,5.476275788995845,2.0,2,adam,cosine,16
14,gabor,62.75349803182737,64.0,63.81360077604267,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.4,1200,1,1908,0.0,0.5008333325386047,92,5.476275788995845,2.0,2,adam,cosine,16
15,gabor,62.75349803182737,64.0,63.81360077604267,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.4,1200,1,2771,0.0,0.5008333325386047,92,5.476275788995845,2.0,2,adam,cosine,16
8,gabor,62.75349803182737,64.0,63.02820261264523,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.6,1300,1,2996,0.0,0.5007692575454712,92,5.476275788995845,2.0,2,adam,cosine,16
9,gabor,62.75349803182737,64.0,63.02820261264523,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.6,1300,1,3125,0.0,0.5007692575454712,92,5.476275788995845,2.0,2,adam,cosine,16
10,gabor,62.75349803182737,64.0,63.02820261264523,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.6,1300,1,3242,0.0,0.5007692575454712,92,5.476275788995845,2.0,2,adam,cosine,16
11,gabor,62.75349803182737,64.0,63.02820261264523,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.6,1300,1,2754,0.0,0.5007692575454712,92,5.476275788995845,2.0,2,adam,cosine,16
12,gabor,62.75349803182737,64.0,63.02820261264523,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.6,1300,1,3184,0.0,0.5007692575454712,92,5.476275788995845,2.0,2,adam,cosine,16
13,gabor,62.75349803182737,64.0,63.02820261264523,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.6,1300,1,3118,0.0,0.5007692575454712,92,5.476275788995845,2.0,2,adam,cosine,16
14,gabor,62.75349803182737,64.0,63.02820261264523,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.6,1300,1,3360,0.0,0.5007692575454712,92,5.476275788995845,2.0,2,adam,cosine,16
15,gabor,62.75349803182737,64.0,63.02820261264523,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.6,1300,1,3099,0.0,0.5007692575454712,92,5.476275788995845,2.0,2,adam,cosine,16
8,gabor,62.75349803182737,64.0,63.715426005618,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.8,1400,1,4280,0.0,0.5007143020629883,92,5.476275788995845,2.0,2,adam,cosine,16
9,gabor,62.75349803182737,64.0,63.715426005618,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.8,1400,1,3727,0.0,0.5007143020629883,92,5.476275788995845,2.0,2,adam,cosine,16
10,gabor,62.75349803182737,64.0,63.715426005618,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.8,1400,1,3921,0.0,0.5007143020629883,92,5.476275788995845,2.0,2,adam,cosine,16
11,gabor,62.75349803182737,64.0,63.715426005618,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.8,1400,1,3794,0.0,0.5007143020629883,92,5.476275788995845,2.0,2,adam,cosine,16
12,gabor,62.75349803182737,64.0,63.715426005618,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.8,1400,1,4121,0.0,0.5007143020629883,92,5.476275788995845,2.0,2,adam,cosine,16
13,gabor,62.75349803182737,64.0,63.715426005618,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.8,1400,1,3904,0.0,0.5007143020629883,92,5.476275788995845,2.0,2,adam,cosine,16
14,gabor,62.75349803182737,64.0,63.715426005618,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.8,1400,1,3992,0.0,0.5007143020629883,92,5.476275788995845,2.0,2,adam,cosine,16
15,gabor,62.75349803182737,64.0,63.715426005618,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,2.8,1400,1,4015,0.0,0.5007143020629883,92,5.476275788995845,2.0,2,adam,cosine,16
8,gabor,62.75349803182737,64.0,63.91177554646736,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.0,1500,1,4954,0.0,0.5006666779518127,92,5.476275788995845,2.0,2,adam,cosine,16
9,gabor,62.75349803182737,64.0,63.91177554646736,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.0,1500,1,4589,0.0,0.5006666779518127,92,5.476275788995845,2.0,2,adam,cosine,16
10,gabor,62.75349803182737,64.0,63.91177554646736,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.0,1500,1,4834,0.0,0.5006666779518127,92,5.476275788995845,2.0,2,adam,cosine,16
