seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,gabor,32.876946845134995,32.0,31.857713002809,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.0,1000,1,175,0.0,0.5010000467300415,59,8.607164556761518,2.0,2,adam,cosine,16
1,gabor,32.876946845134995,32.0,31.857713002809,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.0,1000,1,277,0.0,0.5010000467300415,59,8.607164556761518,2.0,2,adam,cosine,16
2,gabor,32.876946845134995,32.0,31.857713002809,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.0,1000,1,238,0.0,0.5010000467300415,59,8.607164556761518,2.0,2,adam,cosine,16
3,gabor,32.876946845134995,32.0,31.857713002809,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.0,1000,1,121,0.0,0.5010000467300415,59,8.607164556761518,2.0,2,adam,cosine,16
4,gabor,32.876946845134995,32.0,31.857713002809,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.0,1000,1,109,0.0,0.5010000467300415,59,8.607164556761518,2.0,2,adam,cosine,16
5,gabor,32.876946845134995,32.0,31.857713002809,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.0,1000,1,104,0.0,0.5010000467300415,59,8.607164556761518,2.0,2,adam,cosine,16
6,gabor,32.876946845134995,32.0,31.857713002809,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.0,1000,1,115,0.0,0.5010000467300415,59,8.607164556761518,2.0,2,adam,cosine,16
7,gabor,32.876946845134995,32.0,31.857713002809,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.0,1000,1,175,0.0,0.5010000467300415,59,8.607164556761518,2.0,2,adam,cosine,16
0,gabor,32.876946845134995,32.0,31.808625617596654,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.2,1100,1,265,0.0,0.5009090900421143,59,8.607164556761518,2.0,2,adam,cosine,16
1,gabor,32.876946845134995,32.0,31.808625617596654,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.2,1100,1,738,0.0,0.5009090900421143,59,8.607164556761518,2.0,2,adam,cosine,16
2,gabor,32.876946845134995,32.0,31.808625617596654,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.2,1100,1,425,0.0,0.5009090900421143,59,8.607164556761518,2.0,2,adam,cosine,16
3,gabor,32.876946845134995,32.0,31.808625617596654,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.2,1100,1,282,0.0,0.5009090900421143,59,8.607164556761518,2.0,2,adam,cosine,16
4,gabor,32.876946845134995,32.0,31.808625617596654,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.2,1100,1,626,0.0,0.5009090900421143,59,8.607164556761518,2.0,2,adam,cosine,16
5,gabor,32.876946845134995,32.0,31.808625617596654,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.2,1100,1,235,0.0,0.5009090900421143,59,8.607164556761518,2.0,2,adam,cosine,16
6,gabor,32.876946845134995,32.0,31.808625617596654,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.2,1100,1,315,0.0,0.5009090900421143,59,8.607164556761518,2.0,2,adam,cosine,16
7,gabor,32.876946845134995,32.0,31.808625617596654,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.2,1100,1,625,0.0,0.5009090900421143,59,8.607164556761518,2.0,2,adam,cosine,16
0,gabor,32.876946845134995,32.0,32.3485868549324,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.4,1200,1,377,0.0,0.5008333325386047,59,8.607164556761518,2.0,2,adam,cosine,16
1,gabor,32.876946845134995,32.0,32.3485868549324,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.4,1200,1,1059,0.0,0.5008333325386047,59,8.607164556761518,2.0,2,adam,cosine,16
2,gabor,32.876946845134995,32.0,32.3485868549324,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.4,1200,1,1680,0.0,0.5008333325386047,59,8.607164556761518,2.0,2,adam,cosine,16
3,gabor,32.876946845134995,32.0,32.3485868549324,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.4,1200,1,2011,0.0,0.5008333325386047,59,8.607164556761518,2.0,2,adam,cosine,16
4,gabor,32.876946845134995,32.0,32.3485868549324,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.4,1200,1,408,0.0,0.5008333325386047,59,8.607164556761518,2.0,2,adam,cosine,16
5,gabor,32.876946845134995,32.0,32.3485868549324,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.4,1200,1,749,0.0,0.5008333325386047,59,8.607164556761518,2.0,2,adam,cosine,16
6,gabor,32.876946845134995,32.0,32.3485868549324,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.4,1200,1,1351,0.0,0.5008333325386047,59,8.607164556761518,2.0,2,adam,cosine,16
7,gabor,32.876946845134995,32.0,32.3485868549324,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.4,1200,1,1708,0.0,0.5008333325386047,59,8.607164556761518,2.0,2,adam,cosine,16
0,gabor,32.876946845134995,32.0,31.514101306322615,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.6,1300,1,2954,0.0,0.5007692575454712,59,8.607164556761518,2.0,2,adam,cosine,16
1,gabor,32.876946845134995,32.0,31.514101306322615,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.6,1300,1,2475,0.0,0.5007692575454712,59,8.607164556761518,2.0,2,adam,cosine,16
2,gabor,32.876946845134995,32.0,31.514101306322615,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.6,1300,1,1508,0.0,0.5007692575454712,59,8.607164556761518,2.0,2,adam,cosine,16
3,gabor,32.876946845134995,32.0,31.514101306322615,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.6,1300,1,1705,0.0,0.5007692575454712,59,8.607164556761518,2.0,2,adam,cosine,16
4,gabor,32.876946845134995,32.0,31.514101306322615,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.6,1300,1,3086,0.0,0.5007692575454712,59,8.607164556761518,2.0,2,adam,cosine,16
5,gabor,32.876946845134995,32.0,31.514101306322615,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.6,1300,1,2561,0.0,0.5007692575454712,59,8.607164556761518,2.0,2,adam,cosine,16
6,gabor,32.876946845134995,32.0,31.514101306322615,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.6,1300,1,2724,0.0,0.5007692575454712,59,8.607164556761518,2.0,2,adam,cosine,16
7,gabor,32.876946845134995,32.0,31.514101306322615,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.6,1300,1,1253,0.0,0.5007692575454712,59,8.607164556761518,2.0,2,adam,cosine,16
0,gabor,32.876946845134995,32.0,31.12140222462389,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.8,1400,1,3429,0.0,0.5007143020629883,59,8.607164556761518,2.0,2,adam,cosine,16
1,gabor,32.876946845134995,32.0,31.12140222462389,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.8,1400,1,3838,0.0,0.5007143020629883,59,8.607164556761518,2.0,2,adam,cosine,16
2,gabor,32.876946845134995,32.0,31.12140222462389,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.8,1400,1,3515,0.0,0.5007143020629883,59,8.607164556761518,2.0,2,adam,cosine,16
3,gabor,32.876946845134995,32.0,31.12140222462389,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.8,1400,1,3696,0.0,0.5007143020629883,59,8.607164556761518,2.0,2,adam,cosine,16
4,gabor,32.876946845134995,32.0,31.12140222462389,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.8,1400,1,3632,0.0,0.5007143020629883,59,8.607164556761518,2.0,2,adam,cosine,16
5,gabor,32.876946845134995,32.0,31.12140222462389,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.8,1400,1,3367,0.0,0.5007143020629883,59,8.607164556761518,2.0,2,adam,cosine,16
6,gabor,32.876946845134995,32.0,31.12140222462389,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.8,1400,1,3324,0.0,0.5007143020629883,59,8.607164556761518,2.0,2,adam,cosine,16
7,gabor,32.876946845134995,32.0,31.12140222462389,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,2.8,1400,1,3275,0.0,0.5007143020629883,59,8.607164556761518,2.0,2,adam,cosine,16
0,gabor,32.876946845134995,32.0,31.906800388021335,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,3.0,1500,1,4135,0.0,0.5006666779518127,59,8.607164556761518,2.0,2,adam,cosine,16
1,gabor,32.876946845134995,32.0,31.906800388021335,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,3.0,1500,1,3977,0.0,0.5006666779518127,59,8.607164556761518,2.0,2,adam,cosine,16
2,gabor,32.876946845134995,32.0,31.906800388021335,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,3.0,1500,1,4348,0.0,0.5006666779518127,59,8.607164556761518,2.0,2,adam,cosine,16
3,gabor,32.876946845134995,32.0,31.906800388021335,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,3.0,1500,1,4206,0.0,0.5006666779518127,59,8.607164556761518,2.0,2,adam,cosine,16
4,gabor,32.876946845134995,32.0,31.906800388021335,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,3.0,1500,1,4344,0.0,0.5006666779518127,59,8.607164556761518,2.0,2,adam,cosine,16
5,gabor,32.876946845134995,32.0,31.906800388021335,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,3.0,1500,1,4606,0.0,0.5006666779518127,59,8.607164556761518,2.0,2,adam,cosine,16
6,gabor,32.876946845134995,32.0,31.906800388021335,32.00258324670137,9.560809661311945,1.4405782287073141,2.0,500,3.0,1500,1,4623,0.0,0.5006666779518127,59,8.607164556761518,2.0,2,adam,cosine,16
