seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,sinusoid,0.03196347072368549,16.0,16.002487579223008,16.002779534420576,5.077445582871626,1.0309019518214229,nan,500,2.4,1200,1,2616,0.0,0.5008333325386047,21,24.57174222996549,2.0,2,adam,cosine,16
1,sinusoid,0.03196347072368549,16.0,16.002487579223008,16.002779534420576,5.077445582871626,1.0309019518214229,nan,500,2.4,1200,1,2557,0.0,0.5008333325386047,21,24.57174222996549,2.0,2,adam,cosine,16
2,sinusoid,0.03196347072368549,16.0,16.002487579223008,16.002779534420576,5.077445582871626,1.0309019518214229,nan,500,2.4,1200,1,2390,0.0,0.5008333325386047,21,24.57174222996549,2.0,2,adam,cosine,16
3,sinusoid,0.03196347072368549,16.0,16.002487579223008,16.002779534420576,5.077445582871626,1.0309019518214229,nan,500,2.4,1200,1,2075,0.0,0.5008333325386047,21,24.57174222996549,2.0,2,adam,cosine,16
4,sinusoid,0.03196347072368549,16.0,16.002487579223008,16.002779534420576,5.077445582871626,1.0309019518214229,nan,500,2.4,1200,1,3058,0.0,0.5008333325386047,21,24.57174222996549,2.0,2,adam,cosine,16
5,sinusoid,0.03196347072368549,16.0,16.002487579223008,16.002779534420576,5.077445582871626,1.0309019518214229,nan,500,2.4,1200,1,2432,0.0,0.5008333325386047,21,24.57174222996549,2.0,2,adam,cosine,16
6,sinusoid,0.03196347072368549,16.0,16.002487579223008,16.002779534420576,5.077445582871626,1.0309019518214229,nan,500,2.4,1200,1,1770,0.0,0.5008333325386047,21,24.57174222996549,2.0,2,adam,cosine,16
7,sinusoid,0.03196347072368549,16.0,16.002487579223008,16.002779534420576,5.077445582871626,1.0309019518214229,nan,500,2.4,1200,1,1990,0.0,0.5008333325386047,21,24.57174222996549,2.0,2,adam,cosine,16
0,sinusoid,0.03196347072368549,16.0,15.904312808798327,16.002779534420576,5.077445582871626,1.0309019518214229,nan,500,2.8,1400,1,4387,0.0,0.5007143020629883,21,24.57174222996549,2.0,2,adam,cosine,16
1,sinusoid,0.03196347072368549,16.0,15.904312808798327,16.002779534420576,5.077445582871626,1.0309019518214229,nan,500,2.8,1400,1,4573,0.0,0.5007143020629883,21,24.57174222996549,2.0,2,adam,cosine,16
