seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,sinusoid,0.06377259570703114,32.0,32.004975158446015,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.4,1200,1,2409,0.0,0.5008333325386047,42,12.315606016815394,2.0,2,adam,cosine,16
1,sinusoid,0.06377259570703114,32.0,32.004975158446015,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.4,1200,1,2736,0.0,0.5008333325386047,42,12.315606016815394,2.0,2,adam,cosine,16
2,sinusoid,0.06377259570703114,32.0,32.004975158446015,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.4,1200,1,2825,0.0,0.5008333325386047,42,12.315606016815394,2.0,2,adam,cosine,16
3,sinusoid,0.06377259570703114,32.0,32.004975158446015,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.4,1200,1,2072,0.0,0.5008333325386047,42,12.315606016815394,2.0,2,adam,cosine,16
4,sinusoid,0.06377259570703114,32.0,32.004975158446015,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.4,1200,1,2895,0.0,0.5008333325386047,42,12.315606016815394,2.0,2,adam,cosine,16
5,sinusoid,0.06377259570703114,32.0,32.004975158446015,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.4,1200,1,2249,0.0,0.5008333325386047,42,12.315606016815394,2.0,2,adam,cosine,16
6,sinusoid,0.06377259570703114,32.0,32.004975158446015,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.4,1200,1,2628,0.0,0.5008333325386047,42,12.315606016815394,2.0,2,adam,cosine,16
7,sinusoid,0.06377259570703114,32.0,32.004975158446015,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.4,1200,1,2791,0.0,0.5008333325386047,42,12.315606016815394,2.0,2,adam,cosine,16
0,sinusoid,0.06377259570703114,32.0,32.1031499288707,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.8,1400,1,4508,0.0,0.5007143020629883,42,12.315606016815394,2.0,2,adam,cosine,16
1,sinusoid,0.06377259570703114,32.0,32.1031499288707,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.8,1400,1,4452,0.0,0.5007143020629883,42,12.315606016815394,2.0,2,adam,cosine,16
2,sinusoid,0.06377259570703114,32.0,32.1031499288707,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.8,1400,1,4143,0.0,0.5007143020629883,42,12.315606016815394,2.0,2,adam,cosine,16
3,sinusoid,0.06377259570703114,32.0,32.1031499288707,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.8,1400,1,4012,0.0,0.5007143020629883,42,12.315606016815394,2.0,2,adam,cosine,16
4,sinusoid,0.06377259570703114,32.0,32.1031499288707,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.8,1400,1,4513,0.0,0.5007143020629883,42,12.315606016815394,2.0,2,adam,cosine,16
5,sinusoid,0.06377259570703114,32.0,32.1031499288707,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.8,1400,1,3845,0.0,0.5007143020629883,42,12.315606016815394,2.0,2,adam,cosine,16
6,sinusoid,0.06377259570703114,32.0,32.1031499288707,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.8,1400,1,4207,0.0,0.5007143020629883,42,12.315606016815394,2.0,2,adam,cosine,16
7,sinusoid,0.06377259570703114,32.0,32.1031499288707,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,2.8,1400,1,4690,0.0,0.5007143020629883,42,12.315606016815394,2.0,2,adam,cosine,16
0,sinusoid,0.06377259570703114,32.0,32.643111166206445,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,3.2,1600,1,6539,0.0,0.5006250143051147,42,12.315606016815394,2.0,2,adam,cosine,16
1,sinusoid,0.06377259570703114,32.0,32.643111166206445,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,3.2,1600,1,6322,0.0,0.5006250143051147,42,12.315606016815394,2.0,2,adam,cosine,16
2,sinusoid,0.06377259570703114,32.0,32.643111166206445,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,3.2,1600,1,6358,0.0,0.5006250143051147,42,12.315606016815394,2.0,2,adam,cosine,16
3,sinusoid,0.06377259570703114,32.0,32.643111166206445,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,3.2,1600,1,6451,0.0,0.5006250143051147,42,12.315606016815394,2.0,2,adam,cosine,16
4,sinusoid,0.06377259570703114,32.0,32.643111166206445,32.001495577826844,10.149420470614398,1.0300479764231212,nan,500,3.2,1600,1,5793,0.0,0.5006250143051147,42,12.315606016815394,2.0,2,adam,cosine,16
