seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,gabor,16.43864772874775,64.0,63.61725123519331,64.00448781859495,19.122431026109844,1.4405782287073146,2.0,500,3.2,1600,1,4389,0.0,0.5006250143051147,117,4.303627911632039,2.0,2,adam,cosine,16
1,gabor,16.43864772874775,64.0,63.61725123519331,64.00448781859495,19.122431026109844,1.4405782287073146,2.0,500,3.2,1600,1,4638,0.0,0.5006250143051147,117,4.303627911632039,2.0,2,adam,cosine,16
2,gabor,16.43864772874775,64.0,63.61725123519331,64.00448781859495,19.122431026109844,1.4405782287073146,2.0,500,3.2,1600,1,4545,0.0,0.5006250143051147,117,4.303627911632039,2.0,2,adam,cosine,16
3,gabor,16.43864772874775,64.0,63.61725123519331,64.00448781859495,19.122431026109844,1.4405782287073146,2.0,500,3.2,1600,1,5466,0.0,0.5006250143051147,117,4.303627911632039,2.0,2,adam,cosine,16
4,gabor,16.43864772874775,64.0,63.61725123519331,64.00448781859495,19.122431026109844,1.4405782287073146,2.0,500,3.2,1600,1,4356,0.0,0.5006250143051147,117,4.303627911632039,2.0,2,adam,cosine,16
5,gabor,16.43864772874775,64.0,63.61725123519331,64.00448781859495,19.122431026109844,1.4405782287073146,2.0,500,3.2,1600,1,4927,0.0,0.5006250143051147,117,4.303627911632039,2.0,2,adam,cosine,16
6,gabor,16.43864772874775,64.0,63.61725123519331,64.00448781859495,19.122431026109844,1.4405782287073146,2.0,500,3.2,1600,1,4389,0.0,0.5006250143051147,117,4.303627911632039,2.0,2,adam,cosine,16
7,gabor,16.43864772874775,64.0,63.61725123519331,64.00448781859495,19.122431026109844,1.4405782287073146,2.0,500,3.2,1600,1,4461,0.0,0.5006250143051147,117,4.303627911632039,2.0,2,adam,cosine,16
0,gabor,16.43864772874775,64.0,62.78276568658352,64.00448781859495,19.122431026109844,1.4405782287073146,2.0,500,3.4,1700,1,5481,0.0,0.5005882382392883,117,4.303627911632039,2.0,2,adam,cosine,16
1,gabor,16.43864772874775,64.0,62.78276568658352,64.00448781859495,19.122431026109844,1.4405782287073146,2.0,500,3.4,1700,1,5184,0.0,0.5005882382392883,117,4.303627911632039,2.0,2,adam,cosine,16
