seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,gabor,126.92915865815681,16.0,15.904312808798327,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.2,1600,1,6449,0.0,0.5006250143051147,26,19.937985618339937,2.0,2,adam,cosine,16
1,gabor,126.92915865815681,16.0,15.904312808798327,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.2,1600,1,6625,0.0,0.5006250143051147,26,19.937985618339937,2.0,2,adam,cosine,16
2,gabor,126.92915865815681,16.0,15.904312808798327,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.2,1600,1,6780,0.0,0.5006250143051147,26,19.937985618339937,2.0,2,adam,cosine,16
3,gabor,126.92915865815681,16.0,15.904312808798327,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.2,1600,1,6306,0.0,0.5006250143051147,26,19.937985618339937,2.0,2,adam,cosine,16
4,gabor,126.92915865815681,16.0,15.904312808798327,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.2,1600,1,5966,0.0,0.5006250143051147,26,19.937985618339937,2.0,2,adam,cosine,16
5,gabor,126.92915865815681,16.0,15.904312808798327,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.2,1600,1,6072,0.0,0.5006250143051147,26,19.937985618339937,2.0,2,adam,cosine,16
6,gabor,126.92915865815681,16.0,15.904312808798327,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.2,1600,1,6131,0.0,0.5006250143051147,26,19.937985618339937,2.0,2,adam,cosine,16
7,gabor,126.92915865815681,16.0,15.904312808798327,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.2,1600,1,5732,0.0,0.5006250143051147,26,19.937985618339937,2.0,2,adam,cosine,16
0,gabor,126.92915865815681,16.0,15.953400194010667,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.4,1700,1,7291,0.014705881476402283,0.5005882382392883,26,19.937985618339937,2.0,2,adam,cosine,16
1,gabor,126.92915865815681,16.0,15.953400194010667,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.4,1700,1,7177,0.0,0.5005882382392883,26,19.937985618339937,2.0,2,adam,cosine,16
2,gabor,126.92915865815681,16.0,15.953400194010667,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.4,1700,1,6348,0.0,0.5005882382392883,26,19.937985618339937,2.0,2,adam,cosine,16
3,gabor,126.92915865815681,16.0,15.953400194010667,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.4,1700,1,7148,0.0,0.5005882382392883,26,19.937985618339937,2.0,2,adam,cosine,16
4,gabor,126.92915865815681,16.0,15.953400194010667,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.4,1700,1,7280,0.0035294117406010628,0.5005882382392883,26,19.937985618339937,2.0,2,adam,cosine,16
5,gabor,126.92915865815681,16.0,15.953400194010667,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.4,1700,1,6544,0.0,0.5005882382392883,26,19.937985618339937,2.0,2,adam,cosine,16
6,gabor,126.92915865815681,16.0,15.953400194010667,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.4,1700,0,-1,0.006470588035881519,0.5005882382392883,26,19.937985618339937,2.0,2,adam,cosine,16
7,gabor,126.92915865815681,16.0,15.953400194010667,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.4,1700,1,7242,0.009411764331161976,0.5005882382392883,26,19.937985618339937,2.0,2,adam,cosine,16
0,gabor,126.92915865815681,16.0,16.493361431346415,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.6,1800,0,-1,0.030000001192092896,0.5005555748939514,26,19.937985618339937,2.0,2,adam,cosine,16
1,gabor,126.92915865815681,16.0,16.493361431346415,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.6,1800,0,-1,0.012777778320014477,0.5005555748939514,26,19.937985618339937,2.0,2,adam,cosine,16
2,gabor,126.92915865815681,16.0,16.493361431346415,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.6,1800,0,-1,0.05055555701255798,0.5005555748939514,26,19.937985618339937,2.0,2,adam,cosine,16
3,gabor,126.92915865815681,16.0,16.493361431346415,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.6,1800,0,-1,0.04555555805563927,0.5005555748939514,26,19.937985618339937,2.0,2,adam,cosine,16
4,gabor,126.92915865815681,16.0,16.493361431346415,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.6,1800,0,-1,0.03388889133930206,0.5005555748939514,26,19.937985618339937,2.0,2,adam,cosine,16
5,gabor,126.92915865815681,16.0,16.493361431346415,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.6,1800,0,-1,0.03444444388151169,0.5005555748939514,26,19.937985618339937,2.0,2,adam,cosine,16
6,gabor,126.92915865815681,16.0,16.493361431346415,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.6,1800,0,-1,0.04333333298563957,0.5005555748939514,26,19.937985618339937,2.0,2,adam,cosine,16
7,gabor,126.92915865815681,16.0,16.493361431346415,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.6,1800,0,-1,0.04277778044342995,0.5005555748939514,26,19.937985618339937,2.0,2,adam,cosine,16
0,gabor,126.92915865815681,16.0,16.198837120072373,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.8,1900,0,-1,0.07684209942817688,0.5005263090133667,26,19.937985618339937,2.0,2,adam,cosine,16
1,gabor,126.92915865815681,16.0,16.198837120072373,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.8,1900,0,-1,0.07842104882001877,0.5005263090133667,26,19.937985618339937,2.0,2,adam,cosine,16
2,gabor,126.92915865815681,16.0,16.198837120072373,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.8,1900,0,-1,0.07526315748691559,0.5005263090133667,26,19.937985618339937,2.0,2,adam,cosine,16
3,gabor,126.92915865815681,16.0,16.198837120072373,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.8,1900,0,-1,0.0878947302699089,0.5005263090133667,26,19.937985618339937,2.0,2,adam,cosine,16
4,gabor,126.92915865815681,16.0,16.198837120072373,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.8,1900,0,-1,0.06842105090618134,0.5005263090133667,26,19.937985618339937,2.0,2,adam,cosine,16
5,gabor,126.92915865815681,16.0,16.198837120072373,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.8,1900,0,-1,0.09210526198148727,0.5005263090133667,26,19.937985618339937,2.0,2,adam,cosine,16
6,gabor,126.92915865815681,16.0,16.198837120072373,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.8,1900,0,-1,0.08157894015312195,0.5005263090133667,26,19.937985618339937,2.0,2,adam,cosine,16
7,gabor,126.92915865815681,16.0,16.198837120072373,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,3.8,1900,0,-1,0.08473683893680573,0.5005263090133667,26,19.937985618339937,2.0,2,adam,cosine,16
0,gabor,126.92915865815681,16.0,15.904312808798327,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,4.0,2000,0,-1,0.0990000069141388,0.5005000233650208,26,19.937985618339937,2.0,2,adam,cosine,16
1,gabor,126.92915865815681,16.0,15.904312808798327,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,4.0,2000,0,-1,0.10300000756978989,0.5005000233650208,26,19.937985618339937,2.0,2,adam,cosine,16
2,gabor,126.92915865815681,16.0,15.904312808798327,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,4.0,2000,0,-1,0.1080000028014183,0.5005000233650208,26,19.937985618339937,2.0,2,adam,cosine,16
3,gabor,126.92915865815681,16.0,15.904312808798327,16.00112573940732,5.015551190173074,1.1193760088732678,4.0,500,4.0,2000,0,-1,0.125,0.5005000233650208,26,19.937985618339937,2.0,2,adam,cosine,16
