seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,gabor,63.46525227893936,32.0,32.1031499288707,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.2,1600,1,5505,0.0,0.5006250143051147,51,9.969098515886937,2.0,2,adam,cosine,16
1,gabor,63.46525227893936,32.0,32.1031499288707,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.2,1600,1,5083,0.0,0.5006250143051147,51,9.969098515886937,2.0,2,adam,cosine,16
2,gabor,63.46525227893936,32.0,32.1031499288707,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.2,1600,1,5887,0.0,0.5006250143051147,51,9.969098515886937,2.0,2,adam,cosine,16
3,gabor,63.46525227893936,32.0,32.1031499288707,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.2,1600,1,5000,0.0,0.5006250143051147,51,9.969098515886937,2.0,2,adam,cosine,16
4,gabor,63.46525227893936,32.0,32.1031499288707,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.2,1600,1,6074,0.0,0.5006250143051147,51,9.969098515886937,2.0,2,adam,cosine,16
5,gabor,63.46525227893936,32.0,32.1031499288707,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.2,1600,1,5519,0.0,0.5006250143051147,51,9.969098515886937,2.0,2,adam,cosine,16
6,gabor,63.46525227893936,32.0,32.1031499288707,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.2,1600,1,5409,0.0,0.5006250143051147,51,9.969098515886937,2.0,2,adam,cosine,16
7,gabor,63.46525227893936,32.0,32.1031499288707,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.2,1600,1,5780,0.0,0.5006250143051147,51,9.969098515886937,2.0,2,adam,cosine,16
0,gabor,63.46525227893936,32.0,31.514101306322615,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.4,1700,1,6036,0.0,0.5005882382392883,51,9.969098515886937,2.0,2,adam,cosine,16
1,gabor,63.46525227893936,32.0,31.514101306322615,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.4,1700,1,5722,0.0,0.5005882382392883,51,9.969098515886937,2.0,2,adam,cosine,16
2,gabor,63.46525227893936,32.0,31.514101306322615,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.4,1700,1,6020,0.0,0.5005882382392883,51,9.969098515886937,2.0,2,adam,cosine,16
3,gabor,63.46525227893936,32.0,31.514101306322615,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.4,1700,1,6713,0.0,0.5005882382392883,51,9.969098515886937,2.0,2,adam,cosine,16
4,gabor,63.46525227893936,32.0,31.514101306322615,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.4,1700,1,6208,0.0,0.5005882382392883,51,9.969098515886937,2.0,2,adam,cosine,16
5,gabor,63.46525227893936,32.0,31.514101306322615,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.4,1700,1,7384,0.0,0.5005882382392883,51,9.969098515886937,2.0,2,adam,cosine,16
6,gabor,63.46525227893936,32.0,31.514101306322615,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.4,1700,1,6549,0.0,0.5005882382392883,51,9.969098515886937,2.0,2,adam,cosine,16
7,gabor,63.46525227893936,32.0,31.514101306322615,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.4,1700,1,7524,0.0,0.5005882382392883,51,9.969098515886937,2.0,2,adam,cosine,16
0,gabor,63.46525227893936,32.0,31.857713002809,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.6,1800,0,-1,0.004999999888241291,0.5005555748939514,51,9.969098515886937,2.0,2,adam,cosine,16
1,gabor,63.46525227893936,32.0,31.857713002809,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.6,1800,1,7231,0.011111111380159855,0.5005555748939514,51,9.969098515886937,2.0,2,adam,cosine,16
2,gabor,63.46525227893936,32.0,31.857713002809,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.6,1800,1,7601,0.0,0.5005555748939514,51,9.969098515886937,2.0,2,adam,cosine,16
3,gabor,63.46525227893936,32.0,31.857713002809,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.6,1800,0,-1,0.0005555555690079927,0.5005555748939514,51,9.969098515886937,2.0,2,adam,cosine,16
4,gabor,63.46525227893936,32.0,31.857713002809,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.6,1800,0,-1,0.0011111111380159855,0.5005555748939514,51,9.969098515886937,2.0,2,adam,cosine,16
5,gabor,63.46525227893936,32.0,31.857713002809,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.6,1800,1,7698,0.0,0.5005555748939514,51,9.969098515886937,2.0,2,adam,cosine,16
6,gabor,63.46525227893936,32.0,31.857713002809,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.6,1800,1,7031,0.0,0.5005555748939514,51,9.969098515886937,2.0,2,adam,cosine,16
7,gabor,63.46525227893936,32.0,31.857713002809,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.6,1800,1,7275,0.0016666667070239782,0.5005555748939514,51,9.969098515886937,2.0,2,adam,cosine,16
0,gabor,63.46525227893936,32.0,31.808625617596654,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.8,1900,0,-1,0.03842104971408844,0.5005263090133667,51,9.969098515886937,2.0,2,adam,cosine,16
1,gabor,63.46525227893936,32.0,31.808625617596654,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.8,1900,0,-1,0.015789473429322243,0.5005263090133667,51,9.969098515886937,2.0,2,adam,cosine,16
2,gabor,63.46525227893936,32.0,31.808625617596654,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.8,1900,0,-1,0.04578947275876999,0.5005263090133667,51,9.969098515886937,2.0,2,adam,cosine,16
3,gabor,63.46525227893936,32.0,31.808625617596654,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.8,1900,0,-1,0.06736841797828674,0.5005263090133667,51,9.969098515886937,2.0,2,adam,cosine,16
4,gabor,63.46525227893936,32.0,31.808625617596654,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.8,1900,0,-1,0.05210525915026665,0.5005263090133667,51,9.969098515886937,2.0,2,adam,cosine,16
5,gabor,63.46525227893936,32.0,31.808625617596654,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.8,1900,0,-1,0.047894734889268875,0.5005263090133667,51,9.969098515886937,2.0,2,adam,cosine,16
6,gabor,63.46525227893936,32.0,31.808625617596654,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.8,1900,0,-1,0.033157892525196075,0.5005263090133667,51,9.969098515886937,2.0,2,adam,cosine,16
7,gabor,63.46525227893936,32.0,31.808625617596654,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,3.8,1900,0,-1,0.047894734889268875,0.5005263090133667,51,9.969098515886937,2.0,2,adam,cosine,16
0,gabor,63.46525227893936,32.0,32.054062543658354,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.0,2000,0,-1,0.09950000792741776,0.5005000233650208,51,9.969098515886937,2.0,2,adam,cosine,16
1,gabor,63.46525227893936,32.0,32.054062543658354,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.0,2000,0,-1,0.09600000083446503,0.5005000233650208,51,9.969098515886937,2.0,2,adam,cosine,16
2,gabor,63.46525227893936,32.0,32.054062543658354,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.0,2000,0,-1,0.07300000637769699,0.5005000233650208,51,9.969098515886937,2.0,2,adam,cosine,16
3,gabor,63.46525227893936,32.0,32.054062543658354,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.0,2000,0,-1,0.058500003069639206,0.5005000233650208,51,9.969098515886937,2.0,2,adam,cosine,16
4,gabor,63.46525227893936,32.0,32.054062543658354,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.0,2000,0,-1,0.07100000232458115,0.5005000233650208,51,9.969098515886937,2.0,2,adam,cosine,16
5,gabor,63.46525227893936,32.0,32.054062543658354,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.0,2000,0,-1,0.07450000196695328,0.5005000233650208,51,9.969098515886937,2.0,2,adam,cosine,16
6,gabor,63.46525227893936,32.0,32.054062543658354,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.0,2000,0,-1,0.0885000005364418,0.5005000233650208,51,9.969098515886937,2.0,2,adam,cosine,16
7,gabor,63.46525227893936,32.0,32.054062543658354,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.0,2000,0,-1,0.09150000661611557,0.5005000233650208,51,9.969098515886937,2.0,2,adam,cosine,16
0,gabor,63.46525227893936,32.0,31.21957699504857,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.2,2100,0,-1,0.10857142508029938,0.5004761815071106,51,9.969098515886937,2.0,2,adam,cosine,16
1,gabor,63.46525227893936,32.0,31.21957699504857,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.2,2100,0,-1,0.08095238357782364,0.5004761815071106,51,9.969098515886937,2.0,2,adam,cosine,16
2,gabor,63.46525227893936,32.0,31.21957699504857,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.2,2100,0,-1,0.08809524029493332,0.5004761815071106,51,9.969098515886937,2.0,2,adam,cosine,16
3,gabor,63.46525227893936,32.0,31.21957699504857,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.2,2100,0,-1,0.10999999940395355,0.5004761815071106,51,9.969098515886937,2.0,2,adam,cosine,16
4,gabor,63.46525227893936,32.0,31.21957699504857,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.2,2100,0,-1,0.10571428388357162,0.5004761815071106,51,9.969098515886937,2.0,2,adam,cosine,16
5,gabor,63.46525227893936,32.0,31.21957699504857,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.2,2100,0,-1,0.09333333373069763,0.5004761815071106,51,9.969098515886937,2.0,2,adam,cosine,16
6,gabor,63.46525227893936,32.0,31.21957699504857,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.2,2100,0,-1,0.10809523612260818,0.5004761815071106,51,9.969098515886937,2.0,2,adam,cosine,16
7,gabor,63.46525227893936,32.0,31.21957699504857,32.00191313217234,10.03099629832213,1.119375692565675,4.0,500,4.2,2100,0,-1,0.10428570955991745,0.5004761815071106,51,9.969098515886937,2.0,2,adam,cosine,16
