seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,gabor,31.732962617967992,64.0,64.2062998577414,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.2,1600,1,5004,0.0,0.5006250143051147,101,4.984602111862389,2.0,2,adam,cosine,16
1,gabor,31.732962617967992,64.0,64.2062998577414,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.2,1600,1,4696,0.0,0.5006250143051147,101,4.984602111862389,2.0,2,adam,cosine,16
2,gabor,31.732962617967992,64.0,64.2062998577414,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.2,1600,1,5048,0.0,0.5006250143051147,101,4.984602111862389,2.0,2,adam,cosine,16
3,gabor,31.732962617967992,64.0,64.2062998577414,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.2,1600,1,4889,0.0,0.5006250143051147,101,4.984602111862389,2.0,2,adam,cosine,16
4,gabor,31.732962617967992,64.0,64.2062998577414,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.2,1600,1,4915,0.0,0.5006250143051147,101,4.984602111862389,2.0,2,adam,cosine,16
5,gabor,31.732962617967992,64.0,64.2062998577414,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.2,1600,1,4834,0.0,0.5006250143051147,101,4.984602111862389,2.0,2,adam,cosine,16
6,gabor,31.732962617967992,64.0,64.2062998577414,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.2,1600,1,4855,0.0,0.5006250143051147,101,4.984602111862389,2.0,2,adam,cosine,16
7,gabor,31.732962617967992,64.0,64.2062998577414,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.2,1600,1,4868,0.0,0.5006250143051147,101,4.984602111862389,2.0,2,adam,cosine,16
0,gabor,31.732962617967992,64.0,63.61725123519331,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.4,1700,1,5294,0.0,0.5005882382392883,101,4.984602111862389,2.0,2,adam,cosine,16
1,gabor,31.732962617967992,64.0,63.61725123519331,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.4,1700,1,5313,0.0,0.5005882382392883,101,4.984602111862389,2.0,2,adam,cosine,16
2,gabor,31.732962617967992,64.0,63.61725123519331,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.4,1700,1,5436,0.0,0.5005882382392883,101,4.984602111862389,2.0,2,adam,cosine,16
3,gabor,31.732962617967992,64.0,63.61725123519331,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.4,1700,1,5247,0.0,0.5005882382392883,101,4.984602111862389,2.0,2,adam,cosine,16
4,gabor,31.732962617967992,64.0,63.61725123519331,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.4,1700,1,5359,0.0,0.5005882382392883,101,4.984602111862389,2.0,2,adam,cosine,16
5,gabor,31.732962617967992,64.0,63.61725123519331,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.4,1700,1,5741,0.0,0.5005882382392883,101,4.984602111862389,2.0,2,adam,cosine,16
6,gabor,31.732962617967992,64.0,63.61725123519331,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.4,1700,1,5175,0.0,0.5005882382392883,101,4.984602111862389,2.0,2,adam,cosine,16
7,gabor,31.732962617967992,64.0,63.61725123519331,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.4,1700,1,5363,0.0,0.5005882382392883,101,4.984602111862389,2.0,2,adam,cosine,16
0,gabor,31.732962617967992,64.0,62.88094045700821,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.6,1800,1,6308,0.0,0.5005555748939514,101,4.984602111862389,2.0,2,adam,cosine,16
1,gabor,31.732962617967992,64.0,62.88094045700821,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.6,1800,1,6318,0.0,0.5005555748939514,101,4.984602111862389,2.0,2,adam,cosine,16
2,gabor,31.732962617967992,64.0,62.88094045700821,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.6,1800,1,6360,0.0,0.5005555748939514,101,4.984602111862389,2.0,2,adam,cosine,16
3,gabor,31.732962617967992,64.0,62.88094045700821,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.6,1800,1,6230,0.0,0.5005555748939514,101,4.984602111862389,2.0,2,adam,cosine,16
4,gabor,31.732962617967992,64.0,62.88094045700821,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.6,1800,1,5863,0.0,0.5005555748939514,101,4.984602111862389,2.0,2,adam,cosine,16
5,gabor,31.732962617967992,64.0,62.88094045700821,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.6,1800,1,6294,0.0,0.5005555748939514,101,4.984602111862389,2.0,2,adam,cosine,16
6,gabor,31.732962617967992,64.0,62.88094045700821,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.6,1800,1,6600,0.0,0.5005555748939514,101,4.984602111862389,2.0,2,adam,cosine,16
7,gabor,31.732962617967992,64.0,62.88094045700821,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.6,1800,1,6001,0.0,0.5005555748939514,101,4.984602111862389,2.0,2,adam,cosine,16
0,gabor,31.732962617967992,64.0,63.27363953870692,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.8,1900,1,7898,0.0005263157654553652,0.5005263090133667,101,4.984602111862389,2.0,2,adam,cosine,16
1,gabor,31.732962617967992,64.0,63.27363953870692,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.8,1900,1,7047,0.0,0.5005263090133667,101,4.984602111862389,2.0,2,adam,cosine,16
2,gabor,31.732962617967992,64.0,63.27363953870692,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.8,1900,0,-1,0.006842104718089104,0.5005263090133667,101,4.984602111862389,2.0,2,adam,cosine,16
3,gabor,31.732962617967992,64.0,63.27363953870692,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.8,1900,1,6848,0.008947367779910564,0.5005263090133667,101,4.984602111862389,2.0,2,adam,cosine,16
4,gabor,31.732962617967992,64.0,63.27363953870692,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.8,1900,1,6813,0.0,0.5005263090133667,101,4.984602111862389,2.0,2,adam,cosine,16
5,gabor,31.732962617967992,64.0,63.27363953870692,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.8,1900,1,7811,0.0,0.5005263090133667,101,4.984602111862389,2.0,2,adam,cosine,16
6,gabor,31.732962617967992,64.0,63.27363953870692,64.00314760374789,20.061779880388876,1.1193756925656753,4.0,500,3.8,1900,1,7778,0.0,0.5005263090133667,101,4.984602111862389,2.0,2,adam,cosine,16
