seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,gabor,62.75349803182737,64.0,63.91177554646736,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.2,1600,1,5267,0.0,0.5006250143051147,92,5.476275788995845,2.0,2,adam,cosine,16
1,gabor,62.75349803182737,64.0,63.91177554646736,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.2,1600,1,5279,0.0,0.5006250143051147,92,5.476275788995845,2.0,2,adam,cosine,16
2,gabor,62.75349803182737,64.0,63.91177554646736,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.2,1600,1,5245,0.0,0.5006250143051147,92,5.476275788995845,2.0,2,adam,cosine,16
3,gabor,62.75349803182737,64.0,63.91177554646736,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.2,1600,1,5409,0.0,0.5006250143051147,92,5.476275788995845,2.0,2,adam,cosine,16
4,gabor,62.75349803182737,64.0,63.91177554646736,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.2,1600,1,5050,0.0,0.5006250143051147,92,5.476275788995845,2.0,2,adam,cosine,16
5,gabor,62.75349803182737,64.0,63.91177554646736,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.2,1600,1,5670,0.0,0.5006250143051147,92,5.476275788995845,2.0,2,adam,cosine,16
6,gabor,62.75349803182737,64.0,63.91177554646736,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.2,1600,1,5786,0.0,0.5006250143051147,92,5.476275788995845,2.0,2,adam,cosine,16
7,gabor,62.75349803182737,64.0,63.91177554646736,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.2,1600,1,5148,0.0,0.5006250143051147,92,5.476275788995845,2.0,2,adam,cosine,16
0,gabor,62.75349803182737,64.0,63.61725123519331,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.4,1700,1,5861,0.0,0.5005882382392883,92,5.476275788995845,2.0,2,adam,cosine,16
1,gabor,62.75349803182737,64.0,63.61725123519331,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.4,1700,1,5944,0.0,0.5005882382392883,92,5.476275788995845,2.0,2,adam,cosine,16
2,gabor,62.75349803182737,64.0,63.61725123519331,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.4,1700,1,7251,0.0,0.5005882382392883,92,5.476275788995845,2.0,2,adam,cosine,16
3,gabor,62.75349803182737,64.0,63.61725123519331,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.4,1700,1,6967,0.0,0.5005882382392883,92,5.476275788995845,2.0,2,adam,cosine,16
4,gabor,62.75349803182737,64.0,63.61725123519331,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.4,1700,1,6811,0.0,0.5005882382392883,92,5.476275788995845,2.0,2,adam,cosine,16
5,gabor,62.75349803182737,64.0,63.61725123519331,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.4,1700,1,6302,0.0,0.5005882382392883,92,5.476275788995845,2.0,2,adam,cosine,16
6,gabor,62.75349803182737,64.0,63.61725123519331,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.4,1700,1,6643,0.0,0.5005882382392883,92,5.476275788995845,2.0,2,adam,cosine,16
7,gabor,62.75349803182737,64.0,63.61725123519331,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.4,1700,1,6173,0.0,0.5005882382392883,92,5.476275788995845,2.0,2,adam,cosine,16
0,gabor,62.75349803182737,64.0,63.12637738306991,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.6,1800,1,7878,0.0,0.5005555748939514,92,5.476275788995845,2.0,2,adam,cosine,16
1,gabor,62.75349803182737,64.0,63.12637738306991,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.6,1800,1,7543,0.004444444552063942,0.5005555748939514,92,5.476275788995845,2.0,2,adam,cosine,16
2,gabor,62.75349803182737,64.0,63.12637738306991,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.6,1800,1,6843,0.0,0.5005555748939514,92,5.476275788995845,2.0,2,adam,cosine,16
3,gabor,62.75349803182737,64.0,63.12637738306991,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.6,1800,0,-1,0.01944444514811039,0.5005555748939514,92,5.476275788995845,2.0,2,adam,cosine,16
4,gabor,62.75349803182737,64.0,63.12637738306991,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.6,1800,1,7708,0.0027777778450399637,0.5005555748939514,92,5.476275788995845,2.0,2,adam,cosine,16
5,gabor,62.75349803182737,64.0,63.12637738306991,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.6,1800,0,-1,0.004999999888241291,0.5005555748939514,92,5.476275788995845,2.0,2,adam,cosine,16
6,gabor,62.75349803182737,64.0,63.12637738306991,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.6,1800,0,-1,0.004444444552063942,0.5005555748939514,92,5.476275788995845,2.0,2,adam,cosine,16
7,gabor,62.75349803182737,64.0,63.12637738306991,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.6,1800,1,7273,0.007222222164273262,0.5005555748939514,92,5.476275788995845,2.0,2,adam,cosine,16
0,gabor,62.75349803182737,64.0,63.27363953870692,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.8,1900,0,-1,0.017368420958518982,0.5005263090133667,92,5.476275788995845,2.0,2,adam,cosine,16
1,gabor,62.75349803182737,64.0,63.27363953870692,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.8,1900,0,-1,0.03947368264198303,0.5005263090133667,92,5.476275788995845,2.0,2,adam,cosine,16
2,gabor,62.75349803182737,64.0,63.27363953870692,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.8,1900,0,-1,0.03684210404753685,0.5005263090133667,92,5.476275788995845,2.0,2,adam,cosine,16
3,gabor,62.75349803182737,64.0,63.27363953870692,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.8,1900,0,-1,0.02368420921266079,0.5005263090133667,92,5.476275788995845,2.0,2,adam,cosine,16
4,gabor,62.75349803182737,64.0,63.27363953870692,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.8,1900,0,-1,0.051052629947662354,0.5005263090133667,92,5.476275788995845,2.0,2,adam,cosine,16
5,gabor,62.75349803182737,64.0,63.27363953870692,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.8,1900,0,-1,0.03842104971408844,0.5005263090133667,92,5.476275788995845,2.0,2,adam,cosine,16
6,gabor,62.75349803182737,64.0,63.27363953870692,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.8,1900,0,-1,0.03999999910593033,0.5005263090133667,92,5.476275788995845,2.0,2,adam,cosine,16
7,gabor,62.75349803182737,64.0,63.27363953870692,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,3.8,1900,0,-1,0.02052631415426731,0.5005263090133667,92,5.476275788995845,2.0,2,adam,cosine,16
0,gabor,62.75349803182737,64.0,64.00995031689203,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.0,2000,0,-1,0.08450000733137131,0.5005000233650208,92,5.476275788995845,2.0,2,adam,cosine,16
1,gabor,62.75349803182737,64.0,64.00995031689203,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.0,2000,0,-1,0.09450000524520874,0.5005000233650208,92,5.476275788995845,2.0,2,adam,cosine,16
2,gabor,62.75349803182737,64.0,64.00995031689203,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.0,2000,0,-1,0.08350000530481339,0.5005000233650208,92,5.476275788995845,2.0,2,adam,cosine,16
3,gabor,62.75349803182737,64.0,64.00995031689203,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.0,2000,0,-1,0.07300000637769699,0.5005000233650208,92,5.476275788995845,2.0,2,adam,cosine,16
4,gabor,62.75349803182737,64.0,64.00995031689203,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.0,2000,0,-1,0.07600000500679016,0.5005000233650208,92,5.476275788995845,2.0,2,adam,cosine,16
5,gabor,62.75349803182737,64.0,64.00995031689203,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.0,2000,0,-1,0.09050000458955765,0.5005000233650208,92,5.476275788995845,2.0,2,adam,cosine,16
6,gabor,62.75349803182737,64.0,64.00995031689203,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.0,2000,0,-1,0.08450000733137131,0.5005000233650208,92,5.476275788995845,2.0,2,adam,cosine,16
7,gabor,62.75349803182737,64.0,64.00995031689203,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.0,2000,0,-1,0.06100000441074371,0.5005000233650208,92,5.476275788995845,2.0,2,adam,cosine,16
0,gabor,62.75349803182737,64.0,63.56816384998097,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.2,2100,0,-1,0.12238094955682755,0.5004761815071106,92,5.476275788995845,2.0,2,adam,cosine,16
1,gabor,62.75349803182737,64.0,63.56816384998097,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.2,2100,0,-1,0.10619047284126282,0.5004761815071106,92,5.476275788995845,2.0,2,adam,cosine,16
2,gabor,62.75349803182737,64.0,63.56816384998097,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.2,2100,0,-1,0.1066666692495346,0.5004761815071106,92,5.476275788995845,2.0,2,adam,cosine,16
3,gabor,62.75349803182737,64.0,63.56816384998097,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.2,2100,0,-1,0.08857142925262451,0.5004761815071106,92,5.476275788995845,2.0,2,adam,cosine,16
4,gabor,62.75349803182737,64.0,63.56816384998097,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.2,2100,0,-1,0.11238095164299011,0.5004761815071106,92,5.476275788995845,2.0,2,adam,cosine,16
5,gabor,62.75349803182737,64.0,63.56816384998097,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.2,2100,0,-1,0.08761904388666153,0.5004761815071106,92,5.476275788995845,2.0,2,adam,cosine,16
6,gabor,62.75349803182737,64.0,63.56816384998097,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.2,2100,0,-1,0.11714285612106323,0.5004761815071106,92,5.476275788995845,2.0,2,adam,cosine,16
7,gabor,62.75349803182737,64.0,63.56816384998097,63.98997230426293,20.28953898457421,1.0308875668529538,8.0,500,4.2,2100,0,-1,0.09857142716646194,0.5004761815071106,92,5.476275788995845,2.0,2,adam,cosine,16
