seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,sinc,0.23234978392968747,64.0,62.586416145734155,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.4,1700,1,7087,0.0,0.5005882382392883,149,3.3802405584983095,2.0,2,adam,cosine,16
1,sinc,0.23234978392968747,64.0,62.586416145734155,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.4,1700,1,7355,0.0,0.5005882382392883,149,3.3802405584983095,2.0,2,adam,cosine,16
2,sinc,0.23234978392968747,64.0,62.586416145734155,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.4,1700,1,7491,0.0,0.5005882382392883,149,3.3802405584983095,2.0,2,adam,cosine,16
3,sinc,0.23234978392968747,64.0,62.586416145734155,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.4,1700,1,7114,0.0,0.5005882382392883,149,3.3802405584983095,2.0,2,adam,cosine,16
4,sinc,0.23234978392968747,64.0,62.586416145734155,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.4,1700,0,-1,0.001176470541395247,0.5005882382392883,149,3.3802405584983095,2.0,2,adam,cosine,16
5,sinc,0.23234978392968747,64.0,62.586416145734155,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.4,1700,1,6125,0.0,0.5005882382392883,149,3.3802405584983095,2.0,2,adam,cosine,16
6,sinc,0.23234978392968747,64.0,62.586416145734155,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.4,1700,1,7300,0.0,0.5005882382392883,149,3.3802405584983095,2.0,2,adam,cosine,16
7,sinc,0.23234978392968747,64.0,62.586416145734155,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.4,1700,0,-1,0.0029411762952804565,0.5005882382392883,149,3.3802405584983095,2.0,2,adam,cosine,16
0,sinc,0.23234978392968747,64.0,61.94828013797373,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.6,1800,0,-1,0.004444444552063942,0.5005555748939514,149,3.3802405584983095,2.0,2,adam,cosine,16
1,sinc,0.23234978392968747,64.0,61.94828013797373,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.6,1800,0,-1,0.01833333447575569,0.5005555748939514,149,3.3802405584983095,2.0,2,adam,cosine,16
2,sinc,0.23234978392968747,64.0,61.94828013797373,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.6,1800,0,-1,0.003888888983055949,0.5005555748939514,149,3.3802405584983095,2.0,2,adam,cosine,16
3,sinc,0.23234978392968747,64.0,61.94828013797373,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.6,1800,0,-1,0.002222222276031971,0.5005555748939514,149,3.3802405584983095,2.0,2,adam,cosine,16
4,sinc,0.23234978392968747,64.0,61.94828013797373,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.6,1800,0,-1,0.0033333334140479565,0.5005555748939514,149,3.3802405584983095,2.0,2,adam,cosine,16
5,sinc,0.23234978392968747,64.0,61.94828013797373,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.6,1800,0,-1,0.0055555556900799274,0.5005555748939514,149,3.3802405584983095,2.0,2,adam,cosine,16
6,sinc,0.23234978392968747,64.0,61.94828013797373,63.992948666352774,17.576217084217785,1.851954155083144,nan,500,3.6,1800,0,-1,0.022777779027819633,0.5005555748939514,149,3.3802405584983095,2.0,2,adam,cosine,16
