seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,alpha,8.017049911920846,64.0,51.93445355465627,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,3.0,1500,1,6217,0.0,0.5006666779518127,80,6.296576276688308,2.0,2,adam,cosine,16
1,alpha,8.017049911920846,64.0,51.93445355465627,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,3.0,1500,1,6427,0.0,0.5006666779518127,80,6.296576276688308,2.0,2,adam,cosine,16
2,alpha,8.017049911920846,64.0,51.93445355465627,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,3.0,1500,1,6285,0.0,0.5006666779518127,80,6.296576276688308,2.0,2,adam,cosine,16
3,alpha,8.017049911920846,64.0,51.93445355465627,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,3.0,1500,1,5275,0.0,0.5006666779518127,80,6.296576276688308,2.0,2,adam,cosine,16
4,alpha,8.017049911920846,64.0,51.93445355465627,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,3.0,1500,1,6336,0.0,0.5006666779518127,80,6.296576276688308,2.0,2,adam,cosine,16
5,alpha,8.017049911920846,64.0,51.93445355465627,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,3.0,1500,1,5665,0.0,0.5006666779518127,80,6.296576276688308,2.0,2,adam,cosine,16
6,alpha,8.017049911920846,64.0,51.93445355465627,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,3.0,1500,0,-1,0.0006666666595265269,0.5006666779518127,80,6.296576276688308,2.0,2,adam,cosine,16
7,alpha,8.017049911920846,64.0,51.93445355465627,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,3.0,1500,1,7143,0.0013333333190530539,0.5006666779518127,80,6.296576276688308,2.0,2,adam,cosine,16
0,alpha,8.017049911920846,64.0,50.16730768701201,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,3.2,1600,0,-1,0.0024999999441206455,0.5006250143051147,80,6.296576276688308,2.0,2,adam,cosine,16
1,alpha,8.017049911920846,64.0,50.16730768701201,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,3.2,1600,0,-1,0.0024999999441206455,0.5006250143051147,80,6.296576276688308,2.0,2,adam,cosine,16
2,alpha,8.017049911920846,64.0,50.16730768701201,64.00235366820027,14.233623298759218,5.576964507390599,nan,500,3.2,1600,1,7006,0.0,0.5006250143051147,80,6.296576276688308,2.0,2,adam,cosine,16
